device,value size(bytes),idle_rate,MO,LO,RO,stall duration(sec),cpu_util_max,cpu_util_avg
PM,100,0.75,0,0,0,0.0,696.3,213.8
NVMeSSD,100,0.75,0,0,0,0.0,414.6,216.3
SATASSD,100,0.75,0,0,0,0.0,325.7,197.8
SATAHDD,100,0.75,68,0,0,0.0,232.8,103.5
PM,100,2.0,0,0,0,0.0,696.3,213.9
NVMeSSD,100,2.0,0,0,0,0.0,412.4,205.6
SATASSD,100,2.0,0,0,0,0.0,393.6,197.2
SATAHDD,100,2.0,100,0,0,0.0,232.8,98.9
PM,1000,0.75,0,0,0,0.0,665.5,218.3
NVMeSSD,1000,0.75,0,0,0,0.0,449.6,215.0
SATASSD,1000,0.75,2,0,0,0.0,349.6,201.4
SATAHDD,1000,0.75,57,0,0,0.0,223.8,99.4
PM,1000,2.0,0,0,0,0.0,691.3,214.1
NVMeSSD,1000,2.0,0,0,0,0.0,500.5,205.0
SATASSD,1000,2.0,2,0,0,0.0,319.6,195.7
SATAHDD,1000,2.0,60,0,0,0.0,242.7,98.7
