secs_elapsed,interval_qps,batch_size,thread_num
1,43383,64,2
2,42210,64,2
3,40566,128,3
4,42293,128,3
5,40286,128,3
6,39707,256,4
7,37778,256,4
8,37355,256,4
9,35338,512,5
10,35314,512,5
11,35873,512,5
12,38477,512,6
13,39043,512,6
14,38260,512,6
15,37427,512,7
16,36756,512,7
17,38543,512,7
18,38274,512,8
19,38769,512,8
20,38680,512,8
21,38482,512,9
23,38500,512,9
24,37182,512,10
25,38143,512,10
26,38102,512,10
27,38505,512,11
28,35544,512,11
29,37331,512,11
30,37967,512,12
31,37187,512,12
32,38190,512,12
33,38194,512,12
34,38727,512,12
35,38023,512,12
36,36769,512,12
37,36442,512,12
38,38155,512,12
39,37819,512,12
40,36297,512,12
41,36935,512,12
42,37084,512,12
43,38000,512,12
44,37990,512,12
45,38383,512,12
46,38100,512,12
47,36499,512,12
48,38275,512,12
49,38750,512,12
50,37879,512,12
51,37162,512,12
52,37877,512,12
53,38404,512,12
54,37503,512,12
55,38513,512,12
56,38209,512,12
57,38328,512,12
58,37188,512,12
59,38293,512,12
60,38281,512,12
62,36800,512,12
63,37327,512,12
64,35051,512,12
65,34389,512,12
66,34948,512,12
67,36067,512,12
68,38082,512,12
69,37373,512,12
70,37866,512,12
71,35591,512,12
72,37162,512,12
73,36789,512,12
74,37159,512,12
75,36853,512,12
76,36137,512,12
77,36881,512,12
78,36485,512,12
79,36977,512,12
80,36186,512,12
81,36674,512,12
82,35937,512,12
83,34327,512,12
84,36841,512,12
85,36869,512,12
86,36190,512,12
87,36029,512,12
88,35005,512,12
89,35553,512,12
90,36565,512,12
91,36602,512,12
92,36448,512,12
93,36489,512,12
94,36432,512,12
95,34186,512,12
96,35501,512,12
97,36694,512,12
98,36008,512,12
99,36385,512,12
101,35300,512,12
102,35973,512,12
103,35677,512,12
104,34774,512,12
105,32300,512,12
106,36015,512,12
107,34062,512,12
108,36220,512,12
109,31613,512,12
110,32436,512,12
111,34470,512,12
112,34559,512,12
113,43280,512,12
114,42640,512,10
115,39860,512,10
116,40481,512,10
117,37684,512,11
118,39927,512,11
119,39623,512,11
120,39040,512,12
121,35888,512,12
122,37480,512,12
123,39702,512,10
124,39220,512,10
125,40118,512,10
126,39866,512,11
127,38962,512,11
128,39684,512,11
129,38398,512,12
130,39015,512,12
131,38763,512,12
132,38730,512,12
133,38430,512,12
134,38411,512,12
135,38564,512,12
136,37178,512,12
137,38849,512,12
138,38887,512,12
140,38462,512,12
141,37857,512,12
142,38455,512,12
143,38588,512,12
144,38338,512,12
145,38371,512,12
146,37549,512,12
147,38281,512,12
148,36036,512,12
149,35847,512,12
150,36340,512,12
151,34337,512,12
152,36821,512,12
153,37595,512,12
154,37694,512,12
155,37282,512,12
156,37251,512,12
157,37575,512,12
158,36925,512,12
159,37079,512,12
160,36901,512,12
161,36939,512,12
162,36884,512,12
163,36829,512,12
164,35208,512,12
165,36391,512,12
166,36990,512,12
167,37059,512,12
168,37265,512,12
169,37271,512,12
170,36892,512,12
171,37059,512,12
172,37073,512,12
173,37107,512,12
174,36889,512,12
175,36610,512,12
176,35499,512,12
177,36754,512,12
179,36318,512,12
180,36351,512,12
181,36577,512,12
182,36039,512,12
183,36494,512,12
184,33409,512,12
185,35845,512,12
186,36813,512,12
187,36191,512,12
188,34351,512,12
189,33226,512,12
190,36265,512,12
191,36333,512,12
192,36228,512,12
193,36448,512,12
194,36777,512,12
195,36584,512,12
196,36799,512,12
197,36618,512,12
198,36409,512,12
199,36940,512,12
200,36331,512,12
201,36358,512,12
202,34254,512,12
203,35771,512,12
204,35916,512,12
205,36815,512,12
206,36673,512,12
207,37067,512,12
208,34485,512,12
209,36109,512,12
210,36415,512,12
211,36836,512,12
212,36985,512,12
213,36960,512,12
215,35800,512,12
216,37094,512,12
217,36904,512,12
218,36573,512,12
219,36392,512,12
220,36335,512,12
221,36015,512,12
222,36386,512,12
223,35379,512,12
224,37745,512,12
225,43894,512,10
226,40341,512,10
227,42031,512,10
228,40094,512,11
229,40740,512,11
230,40082,512,11
231,40016,512,12
232,39495,512,12
233,39559,512,12
234,37071,512,10
235,38357,512,10
236,39361,512,10
237,37286,512,11
238,36762,512,11
239,37235,512,11
240,38483,512,12
241,38371,512,12
242,37833,512,12
243,36937,512,12
244,36680,512,12
245,37695,512,12
246,37291,512,12
247,37996,512,12
248,36926,512,12
249,37783,512,12
250,35005,512,12
251,37431,512,12
252,36893,512,12
253,37898,512,12
254,36162,512,12
255,37665,512,12
256,38700,512,12
257,38418,512,12
258,38236,512,12
259,38169,512,12
260,38384,512,12
261,37338,512,12
263,35241,512,12
264,37190,512,12
265,37890,512,12
266,38164,512,12
267,37166,512,12
268,37113,512,12
269,37167,512,12
270,36599,512,12
271,36613,512,12
272,36306,512,12
273,34959,512,12
274,37644,512,12
275,35689,512,12
276,35585,512,12
277,36658,512,12
278,36576,512,12
279,35876,512,12
280,36964,512,12
281,37177,512,12
282,36644,512,12
283,37192,512,12
284,36776,512,12
285,36270,512,12
286,36845,512,12
287,37037,512,12
288,34933,512,12
289,36695,512,12
290,34832,512,12
291,33575,512,12
292,36654,512,12
293,35226,512,12
294,35599,512,12
295,36446,512,12
296,36271,512,12
297,36143,512,12
298,35110,512,12
299,35892,512,12
300,34670,512,12
302,35088,512,12
303,35580,512,12
304,34735,512,12
305,35084,512,12
306,36523,512,12
307,36597,512,12
308,35551,512,12
309,36000,512,12
310,36004,512,12
311,36204,512,12
312,35896,512,12
313,35419,512,12
314,33859,512,12
315,35043,512,12
316,35383,512,12
317,36525,512,12
318,36237,512,12
319,36049,512,12
320,35848,512,12
321,35366,512,12
322,36095,512,12
323,35929,512,12
324,35485,512,12
325,36231,512,12
326,35715,512,12
327,35837,512,12
328,35543,512,12
329,36017,512,12
330,35941,512,12
331,36328,512,12
332,36023,512,12
333,34917,512,12
334,35907,512,12
335,35277,512,12
336,38160,512,10
337,42338,512,10
338,40802,512,10
339,40245,512,11
341,40209,512,11
342,38687,512,12
343,38617,512,12
344,39676,512,12
345,39462,512,12
346,35496,512,12
347,39395,512,12
348,38867,512,10
349,39505,512,10
350,39169,512,10
351,39272,512,11
352,39212,512,11
353,38701,512,11
354,38909,512,12
355,38762,512,12
356,38201,512,12
357,38115,512,12
358,36611,512,12
359,37196,512,12
360,37788,512,12
361,38561,512,12
362,36634,512,12
363,38738,512,12
364,37782,512,12
365,38777,512,12
366,38231,512,12
367,37332,512,12
368,36573,512,12
369,35990,512,12
370,36854,512,12
371,36274,512,12
372,37040,512,12
373,38009,512,12
374,37804,512,12
375,36397,512,12
376,38204,512,12
377,34746,512,12
378,37019,512,12
379,37441,512,12
380,37687,512,12
381,37912,512,12
382,37845,512,12
383,36203,512,12
384,37402,512,12
385,37852,512,12
386,37608,512,12
387,36719,512,12
389,37236,512,12
390,37521,512,12
391,37597,512,12
392,35854,512,12
393,36844,512,12
394,35949,512,12
395,36870,512,12
396,36512,512,12
397,36464,512,12
398,38118,512,12
399,36329,512,12
400,33552,512,12
401,34968,512,12
402,35505,512,12
403,36337,512,12
404,36977,512,12
405,36370,512,12
406,36873,512,12
407,36018,512,12
408,37447,512,12
409,36843,512,12
410,35508,512,12
411,38197,512,12
412,37428,512,12
413,37167,512,12
414,36951,512,12
415,37881,512,12
416,37618,512,12
417,37946,512,12
418,36369,512,12
419,36768,512,12
420,37083,512,12
421,37135,512,12
422,37664,512,12
423,37580,512,12
424,36722,512,12
425,37645,512,12
426,38313,512,12
427,38234,512,12
428,37804,512,12
429,37333,512,12
431,37724,512,12
432,37694,512,12
433,36723,512,12
434,36160,512,12
435,37408,512,12
436,37480,512,12
437,37460,512,12
438,37449,512,12
439,36825,512,12
440,37413,512,12
441,37382,512,12
442,37167,512,12
443,36572,512,12
444,36437,512,12
445,37570,512,12
446,36952,512,12
447,41313,512,10
448,43681,512,10
449,42868,512,10
450,41766,512,11
451,41793,512,11
452,40583,512,11
453,40947,512,12
454,41089,512,12
455,40025,512,12
456,38226,512,10
457,39582,512,10
458,39216,512,10
459,39503,512,11
460,40171,512,11
461,40167,512,11
462,39230,512,12
463,39186,512,12
464,39544,512,12
465,40133,512,12
466,40045,512,12
467,40035,512,12
468,40241,512,12
469,39949,512,12
470,39678,512,12
471,40237,512,12
473,39974,512,12
474,39715,512,12
475,40326,512,12
476,41086,512,12
477,40977,512,12
478,40148,512,12
479,40475,512,12
480,40482,512,12
481,40349,512,12
482,40208,512,12
483,40460,512,12
484,40815,512,12
485,41213,512,12
486,40728,512,12
487,40797,512,12
488,40134,512,12
489,41446,512,12
490,40421,512,12
491,39695,512,12
492,39676,512,12
493,39971,512,12
494,40525,512,12
495,39694,512,12
496,40031,512,12
497,40142,512,12
498,39255,512,12
499,39514,512,12
500,39580,512,12
501,40281,512,12
502,41023,512,12
503,40200,512,12
504,38779,512,12
505,38687,512,12
506,40574,512,12
507,40530,512,12
508,39913,512,12
509,39057,512,12
510,38820,512,12
511,39086,512,12
512,38768,512,12
513,38914,512,12
514,38812,512,12
515,38658,512,12
516,38891,512,12
517,38751,512,12
518,38604,512,12
519,38492,512,12
520,39982,512,12
521,38174,512,12
522,38466,512,12
524,38967,512,12
525,38390,512,12
526,37817,512,12
527,38553,512,12
528,38872,512,12
529,38673,512,12
530,39479,512,12
531,39894,512,12
532,40166,512,12
533,40043,512,12
534,39174,512,12
535,39607,512,12
536,39417,512,12
537,38420,512,12
538,38305,512,12
539,40049,512,12
540,39761,512,12
541,39370,512,12
542,39637,512,12
543,38702,512,12
544,40173,512,12
545,41030,512,12
546,40976,512,12
547,40847,512,12
548,40964,512,12
549,40726,512,12
550,42522,512,12
551,46548,512,12
552,44429,512,10
553,44030,512,10
554,43666,512,10
555,42682,512,11
556,42229,512,11
557,41243,512,11
558,41364,512,12
559,42208,512,12
560,41669,512,12
561,41949,512,12
562,41787,512,12
563,42230,512,12
564,41482,512,12
565,42651,512,12
566,42682,512,12
567,41193,512,12
568,42831,512,12
569,42540,512,12
570,41554,512,12
572,41176,512,12
573,40862,512,12
574,41908,512,12
575,42208,512,12
576,42281,512,12
577,41022,512,12
578,41517,512,12
579,42049,512,12
580,42132,512,12
581,42612,512,12
582,42843,512,12
583,41701,512,12
584,40608,512,12
585,40383,512,12
586,40426,512,12
587,40259,512,12
588,40145,512,12
589,40510,512,12
590,40174,512,12
591,40163,512,12
592,41162,512,12
593,40916,512,12
594,41202,512,12
595,40554,512,12
596,40777,512,12
597,40747,512,12
598,40366,512,12
599,40208,512,12
600,40668,512,12
601,40876,512,12
602,40469,512,12
603,40340,512,12
604,40833,512,12
605,40725,512,12
606,40268,512,12
607,39332,512,12
608,40440,512,12
609,39441,512,12
610,41213,512,12
611,40844,512,12
612,39883,512,12
613,39409,512,12
614,39860,512,12
615,40760,512,12
616,41002,512,12
617,39978,512,12
618,40086,512,12
619,39937,512,12
620,39960,512,12
621,40388,512,12
622,41354,512,12
623,40526,512,12
624,39794,512,12
626,40008,512,12
627,39821,512,12
628,39558,512,12
629,39519,512,12
630,39585,512,12
631,40100,512,12
632,40442,512,12
633,41004,512,12
634,41236,512,12
635,40587,512,12
636,40917,512,12
637,40118,512,12
638,39360,512,12
639,38337,512,12
640,38255,512,12
641,39320,512,12
642,39433,512,12
643,39516,512,12
644,39426,512,12
645,39453,512,12
646,39583,512,12
647,39199,512,12
648,39100,512,12
649,40034,512,12
650,39488,512,12
651,42292,512,10
652,45107,512,10
653,43470,512,10
654,42480,512,11
655,42526,512,11
656,42230,512,11
657,44430,512,12
658,44343,512,12
659,44396,512,12
660,43138,512,12
661,44168,512,12
662,43932,512,12
663,43781,512,12
664,43110,512,12
665,43031,512,12
666,42772,512,12
667,41891,512,12
668,41502,512,12
669,41613,512,12
670,41328,512,12
671,41734,512,12
672,41635,512,12
674,41807,512,12
675,41025,512,12
676,40573,512,12
677,41648,512,12
678,41701,512,12
679,41690,512,12
680,41293,512,12
681,40902,512,12
682,40938,512,12
683,40368,512,12
684,40344,512,12
685,39938,512,12
686,39818,512,12
687,40076,512,12
688,40118,512,12
689,39966,512,12
690,39984,512,12
691,40154,512,12
692,40507,512,12
693,40786,512,12
694,41096,512,12
695,39903,512,12
696,40051,512,12
697,40202,512,12
698,40920,512,12
699,40680,512,12
700,41312,512,12
701,40559,512,12
702,39856,512,12
703,40224,512,12
704,39861,512,12
705,40319,512,12
706,39966,512,12
707,39504,512,12
708,39782,512,12
709,39716,512,12
710,40087,512,12
711,40481,512,12
712,39880,512,12
713,39013,512,12
714,40017,512,12
715,39585,512,12
716,39573,512,12
717,38821,512,12
718,40194,512,12
719,40225,512,12
720,40343,512,12
722,40068,512,12
723,40176,512,12
724,39618,512,12
725,39714,512,12
726,39902,512,12
727,39794,512,12
728,39777,512,12
729,39292,512,12
730,39489,512,12
731,39810,512,12
732,38939,512,12
733,39469,512,12
734,38738,512,12
735,38698,512,12
736,38519,512,12
737,38666,512,12
738,38901,512,12
739,38802,512,12
740,39107,512,12
741,39493,512,12
742,39452,512,12
743,39146,512,12
744,40640,512,12
745,39859,512,12
746,39258,512,12
747,39362,512,12
748,38749,512,12
749,38313,512,12
750,38080,512,12
751,38822,512,12
752,37774,512,12
753,42898,512,10
754,44487,512,10
755,43040,512,10
756,42102,512,11
757,42138,512,11
758,41495,512,11
759,41240,512,12
760,41577,512,12
761,40668,512,12
762,42438,512,12
763,42836,512,12
764,42765,512,12
765,41709,512,12
766,41786,512,12
767,40512,512,12
768,40661,512,12
770,41336,512,12
771,40724,512,12
772,40913,512,12
773,40718,512,12
774,41223,512,12
775,40948,512,12
776,40322,512,12
777,40389,512,12
778,40636,512,12
779,41695,512,12
780,40527,512,12
781,41934,512,12
782,40992,512,12
783,40996,512,12
784,41217,512,12
785,40137,512,12
786,40563,512,12
787,43648,512,12
788,40504,512,12
789,39993,512,12
790,39906,512,12
791,39854,512,12
792,40118,512,12
793,41241,512,12
794,41942,512,12
795,41667,512,12
796,40289,512,12
797,40266,512,12
798,40265,512,12
799,40942,512,12
800,40784,512,12
801,40434,512,12
802,40217,512,12
803,39635,512,12
804,39603,512,12
805,41537,512,12
806,41503,512,12
807,40955,512,12
809,40857,512,12
810,40031,512,12
811,41199,512,12
812,40109,512,12
813,39742,512,12
814,40573,512,12
815,40218,512,12
816,39681,512,12
817,39858,512,12
818,39432,512,12
819,38901,512,12
820,40021,512,12
821,39643,512,12
822,39654,512,12
823,40022,512,12
824,39549,512,12
825,39551,512,12
826,40183,512,12
827,39339,512,12
828,38666,512,12
829,40560,512,12
830,39609,512,12
831,39601,512,12
832,40876,512,12
833,40019,512,12
834,40545,512,12
835,40612,512,12
836,39772,512,12
837,39625,512,12
838,39954,512,12
839,39633,512,12
840,39549,512,12
841,39853,512,12
842,39563,512,12
843,39579,512,12
844,39877,512,12
845,39436,512,12
846,39125,512,12
847,39687,512,12
848,39542,512,12
849,39339,512,12
851,39626,512,12
852,39349,512,12
853,40089,512,12
854,39058,512,12
855,38392,512,12
856,46642,512,12
857,44656,512,12
858,43993,512,10
859,44134,512,10
860,43440,512,10
861,42880,512,11
862,43207,512,11
863,42633,512,11
864,42253,512,12
865,42398,512,12
866,42136,512,12
867,42442,512,12
868,42109,512,12
869,42734,512,12
870,42036,512,12
871,42680,512,12
872,41460,512,12
873,42734,512,12
874,41767,512,12
875,41465,512,12
876,41530,512,12
877,41703,512,12
878,41411,512,12
879,42057,512,12
880,41805,512,12
881,41436,512,12
882,41938,512,12
883,41939,512,12
884,41327,512,12
885,42218,512,12
886,41190,512,12
887,41772,512,12
888,41382,512,12
889,40125,512,12
890,39262,512,12
891,41039,512,12
893,40317,512,12
894,39589,512,12
895,40451,512,12
896,40637,512,12
897,40756,512,12
898,40433,512,12
899,39904,512,12
900,40047,512,12
901,40571,512,12
902,40776,512,12
903,39791,512,12
904,39820,512,12
905,40038,512,12
906,40468,512,12
907,39485,512,12
908,39610,512,12
909,39593,512,12
910,39992,512,12
911,40895,512,12
912,40602,512,12
913,40477,512,12
914,40576,512,12
915,40539,512,12
916,40110,512,12
917,39298,512,12
918,38935,512,12
919,39236,512,12
920,39332,512,12
921,39459,512,12
922,39058,512,12
923,39211,512,12
924,39555,512,12
925,39750,512,12
926,39244,512,12
927,39164,512,12
928,40419,512,12
929,39190,512,12
930,39028,512,12
931,39560,512,12
932,39858,512,12
933,39664,512,12
935,40010,512,12
936,39832,512,12
937,39682,512,12
938,39440,512,12
939,38679,512,12
940,39115,512,12
941,39330,512,12
942,39229,512,12
943,38652,512,12
944,37842,512,12
945,38714,512,12
946,38694,512,12
947,38313,512,12
948,38412,512,12
949,38895,512,12
950,39033,512,12
951,38858,512,12
952,38419,512,12
953,38288,512,12
954,39554,512,12
955,39099,512,12
956,39255,512,12
957,39119,512,10
958,45629,512,10
959,43229,512,10
960,42779,512,11
961,42793,512,11
962,41810,512,11
963,41360,512,12
964,41713,512,12
965,41181,512,12
966,40949,512,12
967,43703,512,12
968,42934,512,12
969,42982,512,12
970,43391,512,12
971,43123,512,12
972,43133,512,12
974,43128,512,12
975,43049,512,12
976,42975,512,12
977,42797,512,12
978,42633,512,12
979,42644,512,12
980,42080,512,12
981,41975,512,12
982,41979,512,12
983,40564,512,12
984,40413,512,12
985,41394,512,12
986,40420,512,12
987,39049,512,12
988,40985,512,12
989,41326,512,12
990,40822,512,12
991,41623,512,12
992,41333,512,12
993,40015,512,12
994,41667,512,12
995,40467,512,12
996,41463,512,12
997,40811,512,12
998,39662,512,12
999,39679,512,12
1000,40043,512,12
1001,40162,512,12
1002,40575,512,12
1003,41316,512,12
1004,41456,512,12
1005,40985,512,12
1006,40460,512,12
1007,39616,512,12
1008,39873,512,12
1009,39743,512,12
1010,39813,512,12
1011,39768,512,12
1012,40252,512,12
1013,39071,512,12
1014,39007,512,12
1016,39293,512,12
1017,39815,512,12
1018,40375,512,12
1019,39168,512,12
1020,39258,512,12
1021,39346,512,12
1022,39224,512,12
1023,39074,512,12
1024,39605,512,12
1025,39123,512,12
1026,39136,512,12
1027,40106,512,12
1028,39735,512,12
1029,40049,512,12
1030,39791,512,12
1031,40114,512,12
1032,39750,512,12
1033,39054,512,12
1034,38834,512,12
1035,39978,512,12
1036,40657,512,12
1037,39062,512,12
1038,39525,512,12
1039,40044,512,12
1040,39063,512,12
1041,39078,512,12
1042,40304,512,12
1043,39929,512,12
1044,39337,512,12
1045,39243,512,12
1046,38309,512,12
1047,38673,512,12
1048,39014,512,12
1049,38518,512,12
1050,38355,512,12
1051,39154,512,12
1052,38961,512,12
1053,38802,512,12
1054,38972,512,12
1055,38811,512,12
1056,39548,512,12
1058,39563,512,12
1059,38429,512,12
1060,39543,512,12
1061,45052,512,12
1062,43254,512,10
1063,43034,512,10
1064,42115,512,10
1065,42161,512,11
1066,41432,512,11
1067,40870,512,11
1068,39978,512,12
1069,40977,512,12
1070,41206,512,12
1071,41387,512,12
1072,42115,512,12
1073,42107,512,12
1074,41466,512,12
1075,42561,512,12
1076,41544,512,12
1077,40602,512,12
1078,40342,512,12
1079,41022,512,12
1080,40914,512,12
1081,40640,512,12
1082,40675,512,12
1083,40319,512,12
1084,40578,512,12
1085,40139,512,12
1086,41177,512,12
1087,40200,512,12
1088,40435,512,12
1089,39691,512,12
1090,40137,512,12
1091,40454,512,12
1092,40106,512,12
1093,41323,512,12
1094,39803,512,12
1095,39806,512,12
1096,40705,512,12
1097,40172,512,12
1098,40513,512,12
1099,40760,512,12
1100,39932,512,12
1101,41210,512,12
1103,40431,512,12
1104,41326,512,12
1105,41162,512,12
1106,41077,512,12
1107,40903,512,12
1108,40754,512,12
1109,40683,512,12
1110,40706,512,12
1111,39852,512,12
1112,38993,512,12
1113,38972,512,12
1114,38983,512,12
1115,40046,512,12
1116,39183,512,12
1117,40966,512,12
1118,40573,512,12
1119,39415,512,12
1120,39802,512,12
1121,39656,512,12
1122,39513,512,12
1123,39860,512,12
1124,39156,512,12
1125,39259,512,12
1126,41220,512,12
1127,40803,512,12
1128,39597,512,12
1129,40912,512,12
1130,39403,512,12
1131,39663,512,12
1132,39316,512,12
1133,39087,512,12
1134,38951,512,12
1135,39244,512,12
1136,38873,512,12
1137,38956,512,12
1138,39280,512,12
1139,38813,512,12
1140,38898,512,12
1141,39229,512,12
1142,38776,512,12
1143,39190,512,12
1145,39371,512,12
1146,38578,512,12
1147,39117,512,12
1148,38784,512,12
1149,38707,512,12
1150,38835,512,12
1151,38433,512,12
1152,39863,512,12
1153,39551,512,12
1154,38802,512,12
1155,38955,512,12
1156,39066,512,12
1157,39036,512,12
1158,38218,512,12
1159,39920,512,12
1160,39259,512,12
1161,38890,512,12
1162,38265,512,12
1163,42486,512,12
1164,44497,512,10
1165,43699,512,10
1166,42774,512,10
1167,42041,512,11
1168,42671,512,11
1169,41886,512,11
1170,42035,512,12
1171,41713,512,12
1172,42427,512,12
1173,42473,512,12
1174,42991,512,12
1175,42431,512,12
1176,42478,512,12
1177,42576,512,12
1178,42052,512,12
1179,42418,512,12
1180,41737,512,12
1181,41295,512,12
1182,41385,512,12
1183,41897,512,12
1184,41489,512,12
1185,41615,512,12
1187,41186,512,12
1188,41487,512,12
1189,41650,512,12
1190,41614,512,12
1191,41365,512,12
1192,41308,512,12
1193,40944,512,12
1194,40569,512,12
1195,41041,512,12
1196,40756,512,12
1197,40019,512,12
1198,40975,512,12
1199,41180,512,12
1200,41424,512,12
1201,41136,512,12
1202,41040,512,12
1203,41232,512,12
1204,41462,512,12
1205,41686,512,12
1206,41131,512,12
1207,39444,512,12
1208,37821,512,12
1209,41359,512,12
1210,41653,512,12
1211,40446,512,12
1212,41878,512,12
1213,42104,512,12
1214,41835,512,12
1215,40453,512,12
1216,42200,512,12
1217,40855,512,12
1218,40832,512,12
1219,41222,512,12
1220,40667,512,12
1221,40157,512,12
1222,41342,512,12
1223,40592,512,12
1224,40917,512,12
1225,41338,512,12
1226,40520,512,12
1227,41392,512,12
1228,40843,512,12
1229,40636,512,12
1230,40996,512,12
1232,41016,512,12
1233,40592,512,12
1234,40593,512,12
1235,40716,512,12
1236,41511,512,12
1237,40781,512,12
1238,40334,512,12
1239,40316,512,12
1240,40299,512,12
1241,40114,512,12
1242,40149,512,12
1243,40447,512,12
1244,40719,512,12
1245,40426,512,12
1246,41156,512,12
1247,40101,512,12
1248,39983,512,12
1249,39908,512,12
1250,40327,512,12
1251,39956,512,12
1252,40448,512,12
1253,40705,512,12
1254,41145,512,12
1255,41063,512,12
1256,40395,512,12
1257,40171,512,12
1258,40149,512,12
1259,39910,512,12
1260,39588,512,12
1261,40110,512,12
1262,40670,512,12
1263,42882,512,10
1264,46193,512,10
1265,44179,512,10
1266,43308,512,11
1267,43241,512,11
1268,42416,512,11
1269,42316,512,12
1270,43165,512,12
1271,42819,512,12
1272,43630,512,12
1274,44754,512,12
1275,44416,512,12
1276,44414,512,12
1277,43692,512,12
1278,43633,512,12
1279,44407,512,12
1280,42404,512,12
1281,42699,512,12
1282,43392,512,12
1283,43736,512,12
1284,42448,512,12
1285,42531,512,12
1286,41941,512,12
1287,41819,512,12
1288,42463,512,12
1289,43843,512,12
1290,42879,512,12
1291,43240,512,12
1292,42778,512,12
1293,42266,512,12
1294,42807,512,12
1295,42600,512,12
1296,42432,512,12
1297,42863,512,12
1298,41779,512,12
1299,41426,512,12
1300,42179,512,12
1301,41812,512,12
1302,40145,512,12
1303,41206,512,12
1304,39812,512,12
1305,40154,512,12
1306,41004,512,12
1307,41493,512,12
1308,40327,512,12
1309,41034,512,12
1310,40438,512,12
1311,41493,512,12
1312,41198,512,12
1313,41195,512,12
1314,41400,512,12
1316,42017,512,12
1317,41509,512,12
1318,41637,512,12
1319,41646,512,12
1320,41829,512,12
1321,41671,512,12
1322,41407,512,12
1323,41300,512,12
1324,41647,512,12
1325,40095,512,12
1326,41119,512,12
1327,41226,512,12
1328,40846,512,12
1329,41138,512,12
1330,41065,512,12
1331,40832,512,12
1332,40049,512,12
1333,40953,512,12
1334,40948,512,12
1335,40610,512,12
1336,40678,512,12
1337,39991,512,12
1338,39768,512,12
1339,40239,512,12
1340,40256,512,12
1341,41075,512,12
1342,40253,512,12
1343,39189,512,12
1344,39302,512,12
1345,39312,512,12
1346,39259,512,12
1347,39073,512,12
1348,39298,512,12
1349,39480,512,12
1350,39302,512,12
1351,39600,512,12
1352,39453,512,12
1353,39547,512,12
1354,39279,512,12
1355,39658,512,12
1356,39998,512,12
1357,40122,512,12
1358,39334,512,12
1359,39152,512,12
1361,39228,512,12
1362,39016,512,12
1363,38650,512,12
1364,43902,512,12
1365,44570,512,10
1366,43994,512,10
1367,42672,512,10
1368,42344,512,11
1369,42741,512,11
1370,42683,512,11
1371,41852,512,12
1372,41888,512,12
1373,42780,512,12
1374,42616,512,12
1375,42121,512,12
1376,41348,512,12
1377,41393,512,12
1378,41381,512,12
1379,41088,512,12
1380,40856,512,12
1381,41101,512,12
1382,40671,512,12
1383,40526,512,12
1384,40550,512,12
1385,40655,512,12
1386,40398,512,12
1387,40644,512,12
1388,40672,512,12
1389,40529,512,12
1390,42097,512,12
