secs,user_cpu,sys_cpu,io_wait,cpu_percent,cpu_num,rss,vms,dirty,read_count,write_count,disk_read_bytes,disk_write_bytes,syscall_read_bytes,syscall_write_bytes,num_threads
1, 0.35, 0.51, 0.17, 0.0, 2, 30785536, 429346816, 0, 99, 16989, 23920640, 2330624, 50668, 2266553, 7
2, 1.27, 0.59, 0.17, 100.0, 2, 36192256, 496455680, 0, 99, 58859, 23920640, 7774208, 50668, 7710022, 7
3, 2.16, 0.7, 0.17, 100.0, 2, 41869312, 504848384, 0, 99, 100394, 23920640, 13172736, 50668, 13110082, 7
4, 3.02, 0.83, 0.17, 99.0, 2, 46735360, 513241088, 0, 103, 138829, 23924736, 18198528, 61318, 18123715, 7
5, 3.93, 0.91, 0.17, 99.0, 2, 52412416, 513241088, 0, 103, 180726, 23924736, 23642112, 61318, 23571158, 7
6, 4.8, 1.03, 0.17, 99.0, 2, 57548800, 521633792, 0, 103, 220616, 23924736, 28844032, 61318, 28757635, 7
7, 5.63, 1.19, 0.17, 99.0, 2, 62414848, 530026496, 0, 107, 257066, 23924736, 33615872, 71971, 33513098, 7
8, 6.51, 1.3, 0.17, 99.0, 2, 67551232, 530026496, 0, 107, 294590, 23924736, 38494208, 71971, 38392008, 7
9, 7.44, 1.38, 0.17, 101.0, 2, 72417280, 538419200, 0, 107, 331243, 23924736, 43257856, 71971, 43157584, 7
10, 8.29, 1.51, 0.17, 98.0, 2, 76742656, 538419200, 0, 111, 364019, 23924736, 47546368, 82625, 47435330, 7
11, 9.23, 1.57, 0.17, 100.0, 2, 81338368, 546811904, 0, 111, 399252, 23924736, 52129792, 82625, 52016348, 7
12, 10.12, 1.68, 0.17, 100.0, 2, 86204416, 546811904, 0, 111, 435646, 23924736, 56860672, 82625, 56748248, 7
13, 10.95, 1.83, 0.17, 98.0, 2, 90800128, 555204608, 0, 115, 471475, 23924736, 61542400, 93279, 61422969, 7
14, 11.87, 1.91, 0.17, 100.0, 2, 95936512, 563597312, 0, 115, 510428, 23924736, 66609152, 93279, 66487609, 7
