secs,user_cpu,sys_cpu,io_wait,cpu_percent,cpu_num,rss,vms,dirty,read_count,write_count,disk_read_bytes,disk_write_bytes,syscall_read_bytes,syscall_write_bytes,num_threads
1, 0.07, 0.04, 0.44, 0.0, 10, 28168192, 420954112, 0, 100, 43, 25411584, 118784, 50670, 58280, 7
2, 0.97, 0.1, 0.44, 95.9, 10, 34099200, 496455680, 0, 100, 43874, 25411584, 5816320, 50670, 5755003, 7
3, 1.92, 0.15, 0.44, 100.0, 10, 40316928, 504848384, 0, 100, 90233, 25411584, 11841536, 50670, 11782245, 7
4, 2.79, 0.23, 0.44, 95.0, 10, 45993984, 513241088, 0, 102, 133522, 25411584, 17485824, 55993, 17417666, 7
5, 3.68, 0.3, 0.44, 96.0, 10, 51400704, 513241088, 0, 104, 174784, 25411584, 22863872, 61318, 22792078, 7
6, 4.48, 0.38, 0.44, 88.0, 10, 56266752, 521633792, 0, 104, 212061, 25411584, 27721728, 61318, 27638795, 7
7, 5.37, 0.49, 0.44, 100.0, 10, 62214144, 530026496, 0, 104, 256249, 25411584, 33468416, 61318, 33384124, 7
8, 5.76, 0.54, 0.44, 44.0, 10, 64376832, 530026496, 0, 108, 273091, 25411584, 35688448, 71969, 35590089, 7
9, 6.65, 0.65, 0.44, 100.0, 10, 70053888, 530026496, 0, 108, 316614, 25411584, 41349120, 71969, 41248947, 7
10, 7.47, 0.75, 0.44, 92.0, 10, 75190272, 538419200, 0, 112, 355853, 25411584, 46477312, 82621, 46367063, 7
11, 8.4, 0.82, 0.44, 100.0, 10, 81137664, 546811904, 0, 112, 399791, 25411584, 52191232, 82621, 52079969, 7
12, 9.29, 0.92, 0.44, 99.0, 10, 86814720, 546811904, 0, 112, 443354, 25411584, 57856000, 82621, 57744035, 7
13, 10.13, 1.0, 0.44, 92.0, 10, 91951104, 555204608, 0, 116, 480901, 25411584, 62758912, 93273, 62642143, 7
14, 11.05, 1.08, 0.44, 100.0, 10, 97628160, 563597312, 0, 116, 523988, 25411584, 68362240, 93273, 68244322, 7
15, 11.95, 1.18, 0.44, 100.0, 10, 103305216, 563597312, 0, 116, 567414, 25411584, 74010624, 93273, 73890654, 7
16, 12.75, 1.26, 0.44, 88.0, 10, 108171264, 571990016, 0, 116, 603249, 26271744, 78675968, 93273, 78555311, 7
17, 13.6, 1.35, 0.44, 94.0, 10, 113307648, 580382720, 0, 120, 642367, 26271744, 83783680, 103925, 83652571, 7
18, 14.52, 1.43, 0.44, 100.0, 10, 118984704, 580382720, 0, 120, 685330, 26271744, 89366528, 103925, 89238692, 7
19, 15.41, 1.53, 0.44, 99.0, 10, 124661760, 588775424, 0, 120, 728333, 26271744, 94961664, 103925, 94829951, 7
20, 16.25, 1.59, 0.44, 90.0, 10, 129527808, 597168128, 0, 124, 765438, 26271744, 99807232, 114577, 99670661, 7
21, 17.15, 1.69, 0.44, 100.0, 10, 135204864, 597168128, 0, 124, 808326, 26271744, 105385984, 114577, 105246956, 7
22, 18.07, 1.77, 0.44, 100.0, 10, 140881920, 605560832, 0, 124, 851185, 26271744, 110956544, 114577, 110819564, 7
23, 18.89, 1.85, 0.44, 90.0, 10, 145477632, 605560832, 0, 128, 887262, 26271744, 115675136, 125229, 115526613, 7
24, 19.79, 1.95, 0.44, 100.0, 10, 151154688, 613953536, 0, 128, 929701, 26271744, 121192448, 125229, 121044531, 7
25, 20.58, 2.03, 0.44, 87.0, 10, 155480064, 622346240, 0, 132, 962356, 26271744, 125464576, 135883, 125306620, 7
26, 21.49, 2.11, 0.44, 99.0, 10, 161157120, 622346240, 0, 132, 1004899, 26271744, 130994176, 135883, 130838060, 7
27, 22.38, 2.22, 0.44, 100.0, 10, 166834176, 630738944, 0, 132, 1047441, 26271744, 136523776, 135883, 136369452, 7
28, 23.23, 2.28, 0.44, 91.0, 10, 171700224, 639131648, 0, 136, 1084793, 26271744, 141410304, 146537, 141242284, 7
29, 24.13, 2.38, 0.44, 100.0, 10, 177377280, 639131648, 0, 136, 1127372, 26271744, 146944000, 146537, 146778404, 7
30, 25.02, 2.47, 0.44, 98.0, 10, 182784000, 647524352, 0, 136, 1168640, 26394624, 152309760, 146537, 152144141, 7
31, 25.86, 2.52, 0.44, 89.0, 10, 187920384, 655917056, 0, 140, 1206243, 26394624, 157229056, 157191, 157049535, 7
32, 26.78, 2.61, 0.44, 101.0, 10, 193327104, 655917056, 0, 140, 1248802, 26394624, 162762752, 157191, 162583130, 7
33, 27.68, 2.71, 0.44, 100.0, 10, 199004160, 664309760, 0, 140, 1291403, 26394624, 168300544, 157191, 168122192, 7
34, 28.55, 2.78, 0.44, 94.0, 10, 204140544, 664309760, 0, 142, 1329600, 26394624, 173289472, 162518, 173100686, 7
35, 29.45, 2.83, 0.44, 95.0, 10, 209276928, 672702464, 0, 144, 1368495, 26394624, 178348032, 167845, 178162241, 7
36, 30.36, 2.93, 0.44, 101.0, 10, 214953984, 681095168, 0, 144, 1411202, 26394624, 183902208, 167845, 183715008, 7
37, 31.29, 3.0, 0.44, 100.0, 10, 220631040, 681095168, 0, 144, 1453872, 26394624, 189448192, 167845, 189263047, 7
38, 32.02, 3.06, 0.44, 79.0, 10, 224415744, 689487872, 0, 148, 1484125, 26394624, 193417216, 178499, 193212813, 7
39, 32.92, 3.16, 0.44, 100.0, 10, 230092800, 697880576, 0, 148, 1526528, 26394624, 198934528, 178499, 198726046, 7
40, 33.87, 3.22, 0.44, 101.0, 10, 235769856, 697880576, 0, 148, 1568897, 26394624, 204443648, 178499, 204234941, 7
41, 34.72, 3.26, 0.44, 89.0, 10, 240365568, 706273280, 0, 152, 1603330, 26394624, 208945152, 189153, 208728151, 7
42, 35.63, 3.35, 0.44, 100.0, 10, 245772288, 706273280, 0, 152, 1645447, 26394624, 214421504, 189153, 214204272, 7
43, 36.48, 3.42, 0.44, 92.0, 10, 250908672, 714665984, 0, 156, 1683174, 26394624, 219357184, 199807, 219125861, 7
44, 37.4, 3.48, 0.44, 98.0, 10, 256315392, 723058688, 0, 156, 1724428, 26460160, 224722944, 199807, 224489703, 7
45, 38.31, 3.57, 0.44, 100.0, 10, 261992448, 723058688, 0, 156, 1766565, 26460160, 230203392, 199807, 229968431, 7
46, 39.13, 3.64, 0.44, 89.0, 10, 266588160, 731451392, 0, 160, 1801752, 26460160, 234799104, 210461, 234559675, 7
47, 40.04, 3.74, 0.44, 101.0, 10, 271994880, 739844096, 0, 160, 1843661, 26460160, 240250880, 210461, 240008756, 7
48, 40.97, 3.81, 0.44, 100.0, 10, 277671936, 739844096, 0, 160, 1885468, 26460160, 245686272, 210461, 245444577, 7
