secs,user_cpu,sys_cpu,io_wait,cpu_percent,cpu_num,rss,vms,dirty,read_count,write_count,disk_read_bytes,disk_write_bytes,syscall_read_bytes,syscall_write_bytes,num_threads
1, 0.7, 0.15, 0.17, 0.0, 4, 32923648, 429342720, 0, 99, 36606, 24416256, 4870144, 50665, 4809269, 7
2, 1.63, 0.22, 0.17, 100.0, 4, 39411712, 504844288, 0, 99, 84136, 24416256, 11051008, 50665, 10988776, 7
3, 2.56, 0.3, 0.17, 101.0, 4, 45629440, 513236992, 0, 99, 130986, 24416256, 17141760, 50665, 17080164, 7
4, 3.47, 0.38, 0.17, 99.0, 4, 51576832, 513236992, 0, 103, 176841, 24416256, 23130112, 61313, 23058529, 7
5, 4.39, 0.46, 0.17, 100.0, 4, 57524224, 521629696, 0, 103, 222414, 24416256, 29057024, 61313, 28983950, 7
6, 5.29, 0.56, 0.17, 100.0, 4, 63201280, 530022400, 0, 103, 265739, 24416256, 34689024, 61313, 34617075, 7
7, 6.18, 0.66, 0.17, 99.0, 4, 68878336, 530022400, 0, 107, 308006, 24416256, 40214528, 71964, 40128907, 7
8, 7.1, 0.74, 0.17, 100.0, 4, 74825728, 538415104, 0, 107, 352952, 24416256, 46055424, 71964, 45972804, 7
9, 8.05, 0.79, 0.17, 100.0, 4, 80773120, 546807808, 0, 107, 397527, 24416256, 51851264, 71964, 51768533, 7
10, 8.96, 0.88, 0.17, 100.0, 4, 86450176, 546807808, 0, 111, 441436, 24416256, 57589760, 82616, 57493875, 7
11, 9.89, 0.95, 0.17, 100.0, 4, 92397568, 555200512, 0, 111, 485662, 24416256, 63340544, 82616, 63244152, 7
12, 10.84, 1.0, 0.17, 100.0, 4, 98344960, 563593216, 0, 111, 529529, 24416256, 69042176, 82616, 68947745, 7
13, 11.76, 1.08, 0.17, 100.0, 4, 104022016, 571985920, 0, 115, 573334, 24420352, 74764288, 93268, 74659644, 7
14, 12.69, 1.14, 0.17, 99.0, 4, 109699072, 571985920, 0, 115, 616659, 24420352, 80396288, 93268, 80292770, 7
15, 13.61, 1.23, 0.17, 101.0, 4, 115646464, 580378624, 0, 115, 660461, 24420352, 86089728, 93268, 85987989, 7
16, 14.49, 1.34, 0.17, 99.0, 4, 121323520, 588771328, 0, 119, 703277, 24424448, 91697152, 103920, 91571214, 7
17, 15.4, 1.43, 0.17, 100.0, 4, 127000576, 588771328, 0, 119, 746947, 24424448, 97374208, 103920, 97249266, 7
18, 16.32, 1.51, 0.17, 100.0, 4, 132677632, 597164032, 0, 119, 790373, 24424448, 103022592, 103920, 102895598, 7
19, 17.22, 1.61, 0.17, 100.0, 4, 138354688, 605556736, 0, 123, 832769, 24424448, 108556288, 114572, 108424209, 7
20, 18.09, 1.71, 0.17, 97.0, 4, 144031744, 605556736, 0, 123, 875421, 24424448, 114106368, 114572, 113969900, 7
21, 18.99, 1.82, 0.17, 101.0, 4, 149708800, 613949440, 0, 123, 918787, 24424448, 119746560, 114572, 119608356, 7
22, 19.89, 1.9, 0.17, 98.0, 4, 154845184, 622342144, 0, 127, 958668, 24424448, 124960768, 125224, 124810023, 7
23, 20.81, 1.97, 0.17, 99.0, 4, 160792576, 622342144, 0, 127, 1001903, 24424448, 130580480, 125224, 130431436, 7
24, 21.69, 2.09, 0.17, 100.0, 4, 166469632, 630734848, 0, 127, 1044982, 24424448, 136183808, 125224, 136032651, 7
25, 22.6, 2.18, 0.17, 100.0, 4, 172146688, 639127552, 0, 131, 1087666, 24424448, 141754368, 135878, 141598790, 7
26, 23.5, 2.28, 0.17, 100.0, 4, 177823744, 639127552, 0, 131, 1130732, 24424448, 147353600, 135878, 147198241, 7
27, 24.43, 2.35, 0.17, 100.0, 4, 183500800, 647520256, 0, 131, 1173689, 24428544, 152940544, 135878, 152783590, 7
28, 25.35, 2.42, 0.17, 99.0, 4, 188907520, 655912960, 0, 135, 1216233, 24428544, 158498816, 146532, 158331447, 7
29, 26.26, 2.51, 0.17, 100.0, 4, 194584576, 655912960, 0, 135, 1259184, 24428544, 164085760, 146532, 163916016, 7
30, 27.18, 2.6, 0.17, 101.0, 4, 200261632, 664305664, 0, 135, 1302032, 24428544, 169656320, 146532, 169487120, 7
31, 28.1, 2.67, 0.17, 99.0, 4, 205938688, 672698368, 0, 139, 1343804, 24428544, 175116288, 157186, 174934671, 7
32, 29.03, 2.74, 0.17, 100.0, 4, 211615744, 672698368, 0, 139, 1386695, 24428544, 180690944, 157186, 180511440, 7
