secs,user_cpu,sys_cpu,io_wait,cpu_percent,cpu_num,rss,vms,dirty,read_count,write_count,disk_read_bytes,disk_write_bytes,syscall_read_bytes,syscall_write_bytes,num_threads
1, 0.36, 0.5, 0.15, 0.0, 3, 30691328, 1452806144, 0, 101, 14765, 24399872, 2060288, 50691, 1998827, 18
2, 1.25, 0.61, 0.15, 100.0, 3, 36368384, 1452806144, 0, 101, 58200, 24399872, 7704576, 50691, 7645472, 18
3, 2.15, 0.7, 0.15, 99.0, 3, 41775104, 1452806144, 0, 101, 100237, 24399872, 13168640, 50691, 13110567, 18
4, 3.07, 0.79, 0.15, 101.0, 3, 47452160, 1452806144, 0, 101, 142176, 24399872, 18620416, 50691, 18563306, 18
5, 4.0, 0.86, 0.15, 100.0, 3, 52858880, 1452806144, 0, 101, 183507, 24399872, 23994368, 50691, 23936915, 18
6, 4.94, 0.92, 0.15, 100.0, 3, 58265600, 1452806144, 0, 101, 224463, 24399872, 29331456, 50691, 29261760, 18
7, 5.86, 0.99, 0.15, 99.0, 3, 63672320, 1452806144, 0, 101, 265705, 24399872, 34693120, 50691, 34623792, 18
8, 6.81, 1.05, 0.15, 101.0, 3, 69079040, 1452806144, 0, 101, 306709, 24399872, 40026112, 50691, 39954884, 18
9, 7.71, 1.15, 0.15, 100.0, 3, 74485760, 1452806144, 0, 101, 346409, 24399872, 45187072, 50691, 45116490, 18
10, 8.64, 1.22, 0.15, 100.0, 3, 79892480, 1452806144, 0, 101, 386683, 24399872, 50421760, 50691, 50352654, 18
11, 9.55, 1.29, 0.15, 98.0, 3, 85028864, 1452806144, 0, 101, 426505, 24399872, 55599104, 50691, 55530053, 18
12, 10.46, 1.38, 0.15, 100.0, 3, 90435584, 1452806144, 0, 101, 466803, 24399872, 60837888, 50691, 60769339, 18
13, 11.37, 1.47, 0.15, 100.0, 3, 95571968, 1452806144, 0, 101, 506807, 24399872, 66039808, 50691, 65970405, 18
14, 12.3, 1.54, 0.15, 100.0, 3, 100978688, 1519919104, 0, 101, 547010, 24399872, 71266304, 50691, 71197417, 18
15, 13.24, 1.6, 0.15, 100.0, 3, 106385408, 1519919104, 0, 101, 587569, 24399872, 76541952, 50691, 76470723, 18
16, 14.12, 1.7, 0.15, 98.0, 3, 111521792, 1519919104, 0, 101, 627218, 24399872, 81694720, 50691, 81625625, 18
17, 15.02, 1.8, 0.15, 100.0, 3, 116928512, 1519919104, 0, 101, 666912, 24399872, 86855680, 50691, 86786453, 18
18, 15.91, 1.92, 0.15, 101.0, 3, 122064896, 1519919104, 0, 101, 705577, 24399872, 91885568, 50691, 91813414, 18
19, 16.83, 2.0, 0.15, 100.0, 3, 127201280, 1519919104, 0, 101, 744373, 24399872, 96927744, 50691, 96857474, 18
20, 17.76, 2.07, 0.15, 100.0, 3, 132337664, 1519919104, 0, 101, 784122, 24399872, 102096896, 50691, 102025452, 18
21, 18.68, 2.14, 0.15, 99.0, 3, 137474048, 1519919104, 0, 101, 822765, 24399872, 107118592, 50691, 107049553, 18
22, 19.61, 2.21, 0.15, 100.0, 3, 142610432, 1519919104, 0, 101, 862328, 24399872, 112263168, 50691, 112193351, 18
23, 20.53, 2.29, 0.15, 100.0, 3, 147746816, 1519919104, 0, 101, 901335, 24399872, 117334016, 50691, 117264765, 18
24, 21.44, 2.38, 0.15, 100.0, 3, 153153536, 1519919104, 0, 101, 940509, 24399872, 122429440, 50691, 122357986, 18
25, 22.38, 2.44, 0.15, 100.0, 3, 158019584, 1519919104, 0, 101, 978263, 24399872, 127336448, 50691, 127266565, 18
26, 23.3, 2.5, 0.15, 98.0, 3, 162885632, 1519919104, 0, 101, 1014339, 24399872, 132026368, 50691, 131956880, 18
27, 24.22, 2.58, 0.15, 100.0, 3, 167481344, 1587032064, 0, 101, 1050469, 24399872, 136724480, 50691, 136654290, 18
28, 25.16, 2.64, 0.15, 100.0, 3, 172347392, 1587032064, 0, 101, 1086172, 24399872, 141365248, 50691, 141296176, 18
29, 26.11, 2.7, 0.15, 101.0, 3, 176943104, 1587032064, 0, 101, 1122177, 24399872, 146046976, 50691, 145977261, 18
30, 27.03, 2.78, 0.15, 99.9, 3, 182079488, 1587032064, 0, 101, 1159762, 24399872, 150933504, 50691, 150863863, 18
31, 27.96, 2.85, 0.15, 100.0, 3, 186945536, 1587032064, 0, 101, 1196676, 24399872, 155734016, 50691, 155663214, 18
32, 28.9, 2.9, 0.15, 99.0, 3, 191811584, 1587032064, 0, 101, 1233172, 24399872, 160477184, 50691, 160408143, 18
33, 29.82, 2.98, 0.15, 100.0, 3, 196677632, 1587032064, 0, 101, 1269903, 24399872, 165253120, 50691, 165183704, 18
34, 30.75, 3.06, 0.15, 101.0, 3, 201273344, 1587032064, 0, 101, 1305347, 24399872, 169861120, 50691, 169791831, 18
35, 31.66, 3.14, 0.15, 99.0, 3, 205869056, 1587032064, 0, 101, 1340832, 24399872, 174473216, 50691, 174405377, 18
36, 32.59, 3.2, 0.15, 99.0, 3, 211005440, 1587032064, 0, 101, 1377913, 24399872, 179294208, 50691, 179226445, 18
37, 33.5, 3.27, 0.15, 98.0, 3, 215871488, 1587032064, 0, 101, 1415972, 24399872, 184254464, 50691, 184174606, 18
38, 34.43, 3.35, 0.15, 101.0, 3, 221007872, 1587032064, 0, 101, 1454527, 24399872, 189267968, 50691, 189187336, 18
39, 35.33, 3.45, 0.15, 100.0, 3, 226144256, 1587032064, 0, 101, 1493376, 24399872, 194318336, 50691, 194238286, 18
40, 36.26, 3.52, 0.15, 100.0, 3, 231280640, 1654145024, 0, 101, 1532045, 24399872, 199348224, 50691, 199265768, 18
41, 37.16, 3.6, 0.15, 98.0, 3, 236146688, 1654145024, 0, 101, 1568775, 24399872, 204124160, 50691, 204041199, 18
42, 38.1, 3.67, 0.15, 101.0, 3, 240742400, 1654145024, 0, 101, 1603276, 24399872, 208609280, 50691, 208526715, 18
43, 39.0, 3.76, 0.15, 99.0, 3, 245338112, 1654145024, 0, 101, 1638854, 24399872, 213233664, 50691, 213152358, 18
44, 39.92, 3.84, 0.15, 100.0, 3, 250204160, 1654145024, 0, 101, 1675940, 24399872, 218054656, 50691, 217974069, 18
45, 40.84, 3.92, 0.15, 100.0, 3, 255070208, 1654145024, 0, 101, 1712651, 24399872, 222826496, 50691, 222746948, 18
46, 41.78, 3.98, 0.15, 100.0, 3, 260206592, 1654145024, 0, 101, 1749886, 24399872, 227667968, 50691, 227588043, 18
47, 42.72, 4.04, 0.15, 100.0, 3, 265072640, 1654145024, 0, 101, 1788320, 24399872, 232665088, 50691, 232585043, 18
48, 43.65, 4.11, 0.15, 100.0, 3, 270209024, 1654145024, 0, 101, 1826107, 24399872, 237580288, 50691, 237497837, 18
49, 44.58, 4.18, 0.15, 100.0, 3, 275075072, 1654145024, 0, 101, 1863876, 24399872, 242487296, 50691, 242408352, 18
50, 45.47, 4.29, 0.15, 100.0, 3, 279941120, 1654145024, 0, 101, 1899485, 24399872, 247119872, 50691, 247038025, 18
51, 46.42, 4.33, 0.15, 99.0, 3, 284536832, 1654145024, 0, 101, 1934278, 24399872, 251641856, 50691, 251561515, 18
52, 47.34, 4.41, 0.15, 100.0, 3, 289132544, 1654145024, 0, 101, 1970356, 24399872, 256331776, 50691, 256252165, 18
53, 48.27, 4.48, 0.15, 100.0, 3, 293998592, 1654145024, 0, 101, 2006261, 24399872, 261001216, 50691, 260920243, 18
54, 49.2, 4.55, 0.15, 100.0, 3, 298864640, 1721257984, 0, 101, 2043166, 24399872, 265797632, 50691, 265718431, 18
55, 50.12, 4.62, 0.15, 99.0, 3, 303460352, 1721257984, 0, 101, 2077778, 24399872, 270299136, 50691, 270218452, 18
56, 51.07, 4.66, 0.15, 99.0, 3, 307515392, 1721257984, 0, 101, 2109053, 24399872, 274366464, 50691, 274284504, 18
57, 51.97, 4.75, 0.15, 99.0, 3, 312111104, 1721257984, 0, 101, 2143454, 24399872, 278839296, 50691, 278757102, 18
58, 52.89, 4.84, 0.15, 101.0, 3, 316706816, 1721257984, 0, 101, 2178672, 24399872, 283414528, 50691, 283335924, 18
59, 53.81, 4.92, 0.15, 100.0, 3, 321572864, 1721257984, 0, 101, 2214182, 24399872, 288034816, 50691, 287952645, 18
60, 54.73, 5.0, 0.15, 100.0, 3, 326168576, 1721257984, 0, 101, 2249129, 24399872, 292577280, 50691, 292496237, 18
61, 55.64, 5.09, 0.15, 100.0, 3, 330764288, 1721257984, 0, 101, 2284378, 24399872, 297160704, 50691, 297079096, 18
62, 56.57, 5.16, 0.15, 99.9, 3, 335630336, 1721257984, 0, 101, 2320153, 24399872, 301809664, 50691, 301730274, 18
63, 57.52, 5.21, 0.15, 100.0, 3, 339955712, 1721257984, 0, 101, 2354489, 24399872, 306274304, 50691, 306194415, 18
64, 58.45, 5.29, 0.15, 101.0, 3, 345092096, 1721257984, 0, 101, 2391913, 24399872, 311140352, 50691, 311060073, 18
65, 59.37, 5.36, 0.15, 99.0, 3, 349687808, 1721257984, 0, 101, 2428063, 24399872, 315838464, 50691, 315760015, 18
66, 60.29, 5.43, 0.15, 99.0, 3, 354553856, 1721257984, 0, 101, 2463672, 24399872, 320471040, 50691, 320389681, 18
67, 61.2, 5.51, 0.15, 99.0, 3, 359419904, 1721257984, 0, 101, 2501455, 24399872, 325382144, 50691, 325301955, 18
68, 62.12, 5.59, 0.15, 100.0, 3, 364556288, 1788370944, 0, 101, 2539116, 24399872, 330285056, 50691, 330198437, 18
69, 63.02, 5.69, 0.15, 100.0, 3, 369152000, 1788370944, 0, 101, 2574671, 24399872, 334909440, 50691, 334821083, 18
70, 63.96, 5.76, 0.15, 101.0, 3, 373747712, 1788370944, 0, 101, 2608517, 24399872, 339312640, 50691, 339221435, 18
71, 64.88, 5.82, 0.15, 98.0, 3, 378884096, 1788370944, 0, 101, 2647606, 24399872, 344395776, 50691, 344303599, 18
72, 65.81, 5.89, 0.15, 100.0, 3, 383750144, 1788370944, 0, 101, 2685426, 24399872, 349310976, 50691, 349220758, 18
73, 66.73, 5.97, 0.15, 100.0, 3, 388886528, 1788370944, 0, 101, 2724225, 24399872, 354357248, 50691, 354265140, 18
74, 67.66, 6.04, 0.15, 100.0, 3, 394022912, 1788370944, 0, 101, 2763435, 24399872, 359452672, 50691, 359363027, 18
75, 68.6, 6.1, 0.15, 100.0, 3, 399429632, 1788370944, 0, 101, 2802849, 24399872, 364580864, 50691, 364487380, 18
76, 69.51, 6.18, 0.15, 99.0, 3, 403755008, 1788370944, 0, 101, 2837161, 24399872, 369041408, 50691, 368948401, 18
77, 70.43, 6.26, 0.15, 100.0, 3, 408350720, 1788370944, 0, 101, 2870518, 24399872, 373374976, 50691, 373285244, 18
78, 71.35, 6.33, 0.15, 99.0, 3, 412676096, 1788370944, 0, 101, 2903201, 24399872, 377626624, 50691, 377534378, 18
79, 72.29, 6.39, 0.15, 100.0, 3, 417001472, 1788370944, 0, 101, 2936290, 24399872, 381927424, 50691, 381836374, 18
80, 73.23, 6.45, 0.15, 100.0, 3, 421326848, 1788370944, 0, 101, 2969114, 24399872, 386195456, 50691, 386103920, 18
81, 74.15, 6.53, 0.15, 100.0, 3, 425922560, 1788370944, 0, 101, 3002827, 24399872, 390578176, 50691, 390486975, 18
82, 75.08, 6.59, 0.15, 99.0, 3, 430518272, 1788370944, 0, 101, 3037554, 24399872, 395091968, 50691, 395001960, 18
83, 76.01, 6.67, 0.15, 101.0, 3, 435113984, 1855483904, 0, 101, 3072374, 24399872, 399622144, 50691, 399529028, 18
84, 76.93, 6.75, 0.15, 100.0, 3, 439709696, 1855483904, 0, 101, 3107060, 24399872, 404127744, 50691, 404038608, 18
