secs,user_cpu,sys_cpu,io_wait,cpu_percent,cpu_num,rss,vms,dirty,read_count,write_count,disk_read_bytes,disk_write_bytes,syscall_read_bytes,syscall_write_bytes,num_threads
1, 0.07, 0.06, 0.53, 0.0, 10, 26660864, 1182093312, 0, 98, 57, 24371200, 139264, 45360, 84061, 14
2, 0.97, 0.17, 0.53, 100.9, 10, 34242560, 1318588416, 0, 100, 44596, 24391680, 5935104, 50684, 5877040, 18
3, 1.88, 0.25, 0.53, 99.0, 10, 40194048, 1385697280, 0, 100, 88957, 24391680, 11702272, 50684, 11644324, 18
4, 2.82, 0.31, 0.53, 100.0, 10, 45871104, 1385697280, 0, 100, 131643, 24391680, 17252352, 50684, 17194034, 18
5, 3.75, 0.38, 0.53, 100.0, 10, 51548160, 1385697280, 0, 100, 174151, 24391680, 22777856, 50684, 22720688, 18
6, 4.61, 0.47, 0.53, 95.0, 10, 56684544, 1385697280, 0, 100, 214202, 24391680, 27996160, 50684, 27927862, 18
7, 5.54, 0.54, 0.53, 100.0, 10, 62361600, 1385697280, 0, 100, 256613, 24391680, 33513472, 50684, 33441892, 18
8, 6.49, 0.59, 0.53, 100.0, 10, 68038656, 1385697280, 0, 100, 299180, 24391680, 39047168, 50684, 38976292, 18
9, 7.44, 0.64, 0.53, 100.0, 10, 73445376, 1385697280, 0, 100, 340249, 24391680, 44388352, 50684, 44315834, 18
10, 8.37, 0.71, 0.53, 100.0, 10, 78581760, 1385697280, 0, 100, 380221, 24391680, 49582080, 50684, 49512731, 18
11, 9.3, 0.79, 0.53, 101.0, 10, 83988480, 1385697280, 0, 100, 420172, 24391680, 54775808, 50684, 54706898, 18
12, 10.23, 0.85, 0.53, 99.0, 10, 89395200, 1385697280, 0, 100, 460664, 24391680, 60043264, 50684, 59971418, 18
13, 11.16, 0.92, 0.53, 100.0, 10, 94801920, 1385697280, 0, 100, 501220, 24391680, 65314816, 50684, 65244251, 18
14, 12.07, 1.01, 0.53, 100.0, 10, 100208640, 1452810240, 0, 100, 543294, 24391680, 70787072, 50684, 70714549, 18
15, 12.98, 1.1, 0.53, 100.0, 10, 105885696, 1452810240, 0, 100, 585093, 24391680, 76218368, 50684, 76149090, 18
16, 13.92, 1.17, 0.53, 101.0, 10, 111292416, 1452810240, 0, 100, 626881, 24391680, 81653760, 50684, 81582111, 18
17, 14.81, 1.28, 0.53, 100.0, 10, 116969472, 1452810240, 0, 100, 668650, 24391680, 87085056, 50684, 87012752, 18
18, 15.72, 1.37, 0.53, 100.0, 10, 122376192, 1452810240, 0, 100, 710679, 24391680, 92549120, 50684, 92477124, 18
19, 16.66, 1.43, 0.53, 100.0, 10, 128053248, 1452810240, 0, 100, 752385, 24391680, 97968128, 50684, 97899561, 18
20, 17.55, 1.53, 0.53, 99.0, 10, 133459968, 1452810240, 0, 100, 794069, 24391680, 103391232, 50684, 103319152, 18
21, 18.43, 1.65, 0.53, 100.0, 10, 138866688, 1452810240, 0, 100, 835723, 24391680, 108806144, 50684, 108734760, 18
22, 19.37, 1.72, 0.53, 101.0, 10, 144543744, 1452810240, 0, 100, 877339, 24391680, 114216960, 50684, 114145497, 18
23, 20.25, 1.83, 0.53, 99.0, 10, 149950464, 1452810240, 0, 100, 918896, 24391680, 119619584, 50684, 119548495, 18
24, 21.19, 1.89, 0.53, 100.0, 10, 155357184, 1452810240, 0, 100, 959810, 24391680, 124936192, 50684, 124867958, 18
25, 22.1, 1.99, 0.53, 101.0, 10, 160763904, 1452810240, 0, 100, 1000735, 24391680, 130256896, 50684, 130188776, 18
26, 23.03, 2.05, 0.53, 99.0, 10, 166170624, 1519923200, 0, 100, 1041338, 24391680, 135536640, 50684, 135467802, 18
27, 23.96, 2.13, 0.53, 101.0, 10, 171577344, 1519923200, 0, 100, 1081842, 24391680, 140804096, 50684, 140733958, 18
28, 24.84, 2.25, 0.53, 100.0, 10, 176713728, 1519923200, 0, 100, 1122274, 24391680, 146059264, 50684, 145990665, 18
29, 25.75, 2.34, 0.53, 100.0, 10, 182120448, 1519923200, 0, 100, 1162771, 24391680, 151326720, 50684, 151255427, 18
30, 26.68, 2.41, 0.53, 100.0, 10, 187527168, 1519923200, 0, 100, 1202929, 24391680, 156545024, 50684, 156476514, 18
31, 27.62, 2.46, 0.53, 99.0, 10, 192663552, 1519923200, 0, 100, 1242632, 24391680, 161710080, 50684, 161638996, 18
32, 28.54, 2.54, 0.53, 95.2, 10, 198070272, 1519923200, 0, 100, 1282418, 24391680, 166879232, 50684, 166811300, 18
33, 29.47, 2.61, 0.53, 100.0, 10, 203476992, 1519923200, 0, 100, 1322880, 24391680, 172142592, 50684, 172071921, 18
34, 30.37, 2.71, 0.53, 100.0, 10, 208613376, 1519923200, 0, 100, 1363282, 24391680, 177393664, 50684, 177324810, 18
35, 31.29, 2.79, 0.53, 100.0, 10, 214020096, 1519923200, 0, 100, 1403511, 24391680, 182624256, 50684, 182555127, 18
36, 32.18, 2.91, 0.53, 101.0, 10, 219426816, 1519923200, 0, 100, 1443944, 24391680, 187879424, 50684, 187812046, 18
37, 33.08, 3.0, 0.53, 99.0, 10, 224833536, 1519923200, 0, 100, 1484422, 24391680, 193155072, 50684, 193074822, 18
38, 34.05, 3.03, 0.53, 100.0, 10, 229969920, 1587036160, 0, 100, 1524772, 24391680, 198406144, 50684, 198320869, 18
39, 35.01, 3.07, 0.53, 100.0, 10, 235376640, 1587036160, 0, 100, 1565071, 24391680, 203644928, 50684, 203560368, 18
40, 35.94, 3.15, 0.53, 101.0, 10, 240783360, 1587036160, 0, 100, 1605222, 24391680, 208867328, 50684, 208780545, 18
41, 36.84, 3.25, 0.53, 100.0, 10, 245919744, 1587036160, 0, 100, 1645440, 24391680, 214093824, 50684, 214009507, 18
42, 37.76, 3.33, 0.53, 100.0, 10, 251326464, 1587036160, 0, 100, 1685350, 24391680, 219283456, 50684, 219198422, 18
