interval_qps l0_files total_mem_size pending_bytes
377.12 6 46.41 9.79
377.2 7 36.12 10.14
338.42 8 20.2 10.46
277.18 8 60.41 9.71
352.55 9 46.54 8.41
379.67 3 36.61 6.41
373.03 4 25.71 9.29
373.34 5 14.86 9.66
351.89 5 65.9 9.48
382.8 6 56.42 9.84
378.44 7 46.31 10.18
352.21 8 32.39 10.51
297.36 8 75.53 10.51
271.04 9 49.83 8.12
385.5 3 40.74 6.08
381.72 4 31.11 8.87
372.16 5 20.08 9.24
368.03 5 73.47 9.05
368.67 6 61.93 9.4
386.53 7 53.0 9.74
332.31 8 36.19 10.29
282.88 8 77.22 9.81
327.06 2 59.65 5.76
382.1 3 50.07 5.58
374.67 4 39.41 8.48
379.74 5 29.49 8.86
380.54 6 19.68 9.23
377.21 6 74.4 9.01
376.9 7 64.06 9.59
297.3 8 42.18 10.14
310.95 3 22.28 6.96
378.86 3 77.24 5.82
363.99 4 65.03 8.71
384.36 5 55.77 9.09
380.29 6 45.93 9.46
378.43 7 35.82 9.82
359.54 8 22.96 10.17
278.25 8 63.33 9.77
343.89 9 48.2 8.33
383.87 3 38.82 6.33
379.4 4 28.84 9.24
370.47 5 17.57 9.66
373.11 5 71.7 9.49
372.74 6 60.75 9.85
384.37 7 51.5 10.19
339.88 8 35.8 10.54
284.95 9 12.12 10.86
324.56 9 59.21 8.31
386.07 3 50.21 6.3
384.79 4 41.01 9.23
379.73 5 31.09 9.61
371.56 6 19.98 9.91
377.89 6 74.79 9.71
374.67 7 64.13 10.06
319.26 8 45.43 10.61
286.48 9 21.98 10.84
354.35 2 73.38 6.24
375.24 3 62.8 6.09
386.19 4 53.81 9.02
383.36 5 44.41 9.42
380.48 6 34.6 9.79
381.34 7 24.9 10.34
376.09 7 79.46 10.15
290.88 8 56.65 10.69
288.8 9 33.53 9.01
373.31 3 22.67 6.84
369.53 3 76.28 6.68
343.49 4 61.09 9.56
376.87 5 50.75 9.93
379.43 6 40.78 10.28
375.11 7 30.18 10.63
371.35 8 19.04 11.17
280.5 8 59.73 11.17
320.42 3 41.2 8.42
373.88 4 30.42 9.32
376.27 5 19.99 9.55
378.65 5 74.92 9.36
369.72 6 63.54 9.73
386.69 7 54.63 10.1
340.03 8 38.94 10.66
311.6 9 18.86 11.2
336.76 9 67.3 8.69
384.51 3 58.06 6.5
385.07 4 48.91 9.44
383.41 5 39.52 9.9
381.26 6 29.82 10.28
372.5 7 18.84 10.64
375.61 7 73.33 10.44
276.08 8 48.37 11.0
285.88 9 24.83 10.01
357.26 2 76.62 6.28
368.74 3 65.1 6.13
381.74 4 55.46 9.13
382.67 5 45.97 9.53
379.08 6 35.95 9.94
375.97 7 25.47 10.31
370.32 8 14.18 10.67
271.47 8 53.56 10.67
265.8 9 27.1 8.69
328.47 2 74.76 6.34
368.99 3 63.27 6.18
375.13 4 52.67 9.42
377.07 5 42.36 9.87
371.7 6 31.26 10.32
365.19 7 19.18 10.75
363.29 7 71.89 10.75
318.34 8 53.06 11.37
309.12 3 32.89 8.25
361.64 4 20.34 10.4
361.75 4 72.82 10.22
371.57 5 61.71 10.67
384.01 6 52.4 11.11
379.99 7 42.51 11.52
358.35 8 29.34 11.94
284.86 8 70.67 11.94
323.72 9 52.61 9.37
383.55 3 43.24 7.19
373.97 4 32.24 10.4
374.95 5 21.62 10.85
374.61 5 75.97 10.67
368.61 6 64.42 11.1
384.92 7 55.25 11.51
332.94 8 38.54 12.11
290.56 8 80.69 11.54
324.52 2 62.76 7.44
380.28 3 52.87 7.31
377.21 4 42.58 10.49
371.88 5 31.5 10.94
373.26 6 20.64 11.22
373.36 6 74.81 11.01
370.96 7 63.6 11.42
311.99 8 43.85 11.91
292.03 9 21.2 11.08
363.5 2 73.84 6.97
373.54 3 63.02 6.81
379.02 4 52.99 9.98
379.17 5 42.98 10.43
380.45 6 33.16 10.86
377.26 7 22.87 11.27
378.36 7 77.76 11.27
290.43 8 54.87 11.88
311.15 3 34.97 6.89
383.43 4 25.58 10.29
372.88 5 14.66 10.76
374.68 5 69.01 10.38
378.87 6 58.96 10.82
382.18 7 49.39 11.45
342.9 8 34.13 11.87
290.96 8 76.12 11.26
332.64 9 59.36 9.11
384.3 3 50.1 6.92
357.4 4 36.93 10.16
380.83 5 27.16 10.42
376.64 6 16.79 10.86
373.4 6 70.96 10.67
378.08 7 60.8 11.08
336.2 8 44.56 11.64
298.62 9 22.87 11.72
347.13 2 73.22 7.07
374.06 3 62.47 6.94
383.97 4 53.16 10.11
378.04 5 42.99 10.55
374.78 6 32.34 10.99
368.17 7 20.66 11.41
369.0 7 74.19 11.19
296.92 8 51.8 11.82
288.62 9 28.66 10.98
355.94 3 15.28 6.76
367.2 3 68.55 6.76
377.5 4 58.09 9.99
380.48 5 48.28 10.45
382.85 6 38.81 10.88
378.6 7 28.71 11.3
370.02 8 17.38 11.72
283.29 8 58.47 11.59
294.73 9 36.21 10.56
375.51 3 25.68 6.97
378.48 4 15.57 10.22
371.16 4 69.41 10.02
380.64 5 59.61 10.47
384.11 6 50.32 10.9
380.98 7 40.57 11.32
361.68 8 27.75 11.74
293.67 8 70.35 11.74
321.74 9 52.01 9.25
384.7 3 42.81 7.09
374.42 4 32.11 10.13
380.82 5 22.34 10.59
376.05 5 76.9 10.59
375.6 6 66.38 11.01
384.25 7 57.11 11.44
331.62 8 40.2 12.05
286.33 3 16.73 9.66
356.57 3 68.46 6.68
382.35 4 58.6 9.87
381.6 5 48.95 10.32
376.52 6 38.56 10.9
369.84 7 27.19 11.33
368.65 8 15.66 11.76
294.02 8 58.31 11.12
