interval_qps l0_files total_mem_size pending_bytes
230.72 11 60.81 24.9
28.98 11 65.01 24.9
0.0 11 65.01 24.9
388.76 11 121.41 24.9
59.39 11 130.03 24.9
0.0 11 130.03 24.9
0.0 11 130.03 24.79
216.92 9 96.48 24.4
348.57 10 82.04 24.34
330.8 10 130.03 24.34
0.0 10 130.03 24.34
0.0 11 130.03 24.54
142.47 12 20.67 24.23
305.68 12 65.01 24.23
397.42 12 122.67 24.23
50.73 12 130.03 24.23
231.85 11 33.64 24.63
387.05 11 89.79 24.63
396.78 12 82.31 24.82
339.62 13 66.56 25.02
366.29 13 119.7 25.02
71.23 13 130.03 25.02
0.0 13 130.03 25.02
325.28 12 47.18 25.41
334.9 12 95.77 25.41
358.56 13 82.77 25.61
325.8 13 130.03 25.61
0.0 13 130.03 25.61
0.0 13 130.03 25.61
0.0 13 130.03 25.61
0.0 13 130.03 25.61
217.52 12 31.56 25.98
381.77 12 86.94 25.98
297.02 12 130.03 25.98
108.14 11 15.69 26.37
382.05 11 71.11 26.37
382.97 11 126.67 26.37
337.6 12 110.63 26.56
355.29 13 97.16 26.75
370.83 14 85.95 26.95
303.83 14 130.03 26.95
68.78 13 9.98 27.33
367.36 13 63.28 27.33
368.84 13 116.79 27.33
373.17 14 105.91 27.52
166.28 14 130.03 27.52
0.0 14 130.03 27.52
294.28 13 42.69 27.9
358.69 13 94.72 27.9
341.38 14 79.23 28.09
350.15 14 130.03 28.09
0.0 14 130.03 28.09
0.0 14 130.03 28.09
0.0 14 130.03 28.09
0.0 14 130.03 28.09
64.16 13 9.31 28.46
348.6 13 59.88 28.46
369.63 13 113.5 28.46
113.92 10 130.03 28.45
366.78 12 53.21 28.83
358.75 12 105.26 28.83
369.31 13 93.81 29.02
357.37 14 80.65 29.21
311.37 14 125.82 29.21
29.04 14 130.03 29.21
284.87 13 41.33 29.59
352.52 13 92.47 29.59
292.07 14 69.82 29.78
219.8 15 36.7 29.96
315.1 15 82.38 29.96
328.4 15 130.03 29.96
0.0 15 130.03 29.96
165.93 14 24.07 30.34
367.36 14 77.37 30.34
302.95 15 56.3 30.52
357.79 16 43.19 30.71
368.82 16 96.69 30.71
229.8 16 130.03 30.71
0.0 16 130.03 30.71
227.96 15 33.07 31.08
365.67 15 86.12 31.08
293.98 9 63.75 29.75
385.5 9 119.67 29.75
71.37 9 130.03 29.75
0.0 9 130.03 29.75
0.0 9 130.03 29.75
0.0 9 130.03 29.75
0.0 9 130.03 29.75
0.0 9 130.03 29.75
0.0 9 130.03 29.75
0.0 9 130.03 29.75
0.0 9 130.03 29.75
0.0 9 130.03 29.75
0.0 9 130.03 29.75
0.0 9 130.03 29.75
0.0 9 130.03 29.75
0.0 9 130.03 29.75
0.0 9 130.03 29.75
0.0 9 130.03 29.75
0.0 11 0.0 30.12
375.0 11 54.4 30.05
301.82 7 98.19 29.06
219.49 7 130.03 29.06
0.0 7 130.03 29.06
0.0 7 130.03 29.06
0.0 7 130.03 29.06
0.0 7 130.03 29.06
