interval_qps l0_files total_mem_size pending_bytes
228.79 17 112.4 28.97
141.32 19 130.03 29.36
147.35 19 88.87 29.94
72.31 17 99.36 30.14
153.87 19 130.03 30.53
46.45 18 48.51 30.92
141.97 20 66.74 31.31
7.6 21 9.66 31.5
178.12 20 65.66 31.89
123.89 15 65.02 30.3
124.51 16 130.03 30.5
0.0 16 130.03 30.5
0.0 16 130.03 30.5
114.6 13 119.69 30.73
129.66 15 125.08 28.87
191.5 13 130.03 29.28
207.87 14 87.06 30.08
165.65 16 130.03 30.47
120.54 15 125.88 30.87
128.48 17 130.03 31.26
124.51 16 130.03 31.65
124.5 18 130.03 32.05
181.71 18 124.76 32.64
70.04 20 67.86 33.03
120.36 18 128.54 33.23
76.24 18 13.12 33.82
175.38 20 66.25 34.21
21.63 18 23.82 34.41
164.92 20 66.02 34.8
6.83 21 8.14 35.0
6.5 21 14.92 35.0
6.5 21 21.71 35.0
6.5 21 28.5 35.0
69.58 15 101.18 34.98
152.14 17 130.03 35.37
124.51 16 130.03 35.76
124.51 18 130.03 36.16
131.09 18 71.89 36.74
117.7 19 130.03 36.94
124.51 18 130.03 37.33
66.99 21 4.95 37.92
1.14 21 6.14 37.92
96.84 15 107.28 37.92
208.55 18 130.03 38.5
117.06 17 122.25 38.89
133.53 20 66.65 39.48
122.94 18 130.03 39.68
66.44 21 4.37 40.26
125.83 19 70.77 40.46
62.11 21 5.61 40.85
3.57 21 9.33 40.85
67.19 17 79.51 40.84
172.88 19 130.03 41.23
133.93 19 74.85 41.82
88.9 18 37.89 42.21
153.14 21 2.78 42.79
94.02 18 100.97 42.79
93.32 21 3.38 43.38
6.5 21 10.17 43.38
33.24 18 44.89 43.38
145.21 20 66.5 43.77
85.92 18 91.21 43.96
102.3 20 68.02 44.35
35.27 18 39.85 44.55
149.52 20 65.97 44.94
6.93 21 8.19 45.13
116.66 18 130.03 45.13
66.38 21 4.31 45.72
120.38 10 130.03 41.35
0.0 10 130.03 41.35
79.06 9 82.56 41.04
107.71 10 130.03 40.75
124.51 12 130.03 40.98
62.26 13 130.03 41.18
124.51 15 130.03 41.41
124.51 17 130.03 41.56
62.26 18 130.03 41.75
62.26 12 130.03 41.86
82.88 14 86.56 42.18
103.88 15 130.03 42.21
124.51 13 130.03 42.6
124.5 15 130.03 42.83
3.09 13 68.25 43.03
121.41 14 130.03 43.22
63.34 16 66.16 42.88
123.42 17 130.03 43.08
37.44 15 104.12 43.27
149.32 17 130.03 43.33
124.51 19 130.03 43.56
62.26 17 130.03 43.76
62.25 18 130.03 43.96
65.59 20 68.5 44.02
46.42 17 51.97 44.13
199.32 20 65.09 44.47
7.36 21 7.77 44.67
179.33 19 130.03 44.78
4.98 21 5.2 45.01
181.78 20 65.01 45.24
7.16 21 7.48 45.26
155.18 19 104.52 45.46
30.46 21 6.29 45.86
6.5 21 13.09 45.86
101.32 18 118.9 45.85
83.33 18 10.88 46.45
178.15 20 66.89 46.84
50.59 18 54.71 47.04
135.78 20 66.48 47.44
6.89 21 8.66 47.64
178.48 19 130.03 47.83
6.91 21 7.22 48.23
6.5 21 14.0 48.23
35.12 18 50.68 48.22
140.93 21 2.81 48.82
137.05 19 80.92 49.01
52.18 21 5.58 49.41
149.24 19 96.42 49.61
37.48 21 5.67 50.0
6.51 21 12.47 50.0
6.5 21 19.26 50.0
6.5 21 26.05 50.0
6.51 21 32.84 50.0
6.5 21 39.63 50.0
6.5 21 46.42 50.0
6.5 21 53.21 50.0
6.5 21 60.0 50.0
6.12 22 1.38 50.2
123.19 14 130.03 45.58
145.4 14 86.84 44.76
103.61 15 130.03 44.87
62.25 16 130.03 44.99
124.17 18 129.68 45.31
