interval_qps l0_files total_mem_size pending_bytes
0.0 13 130.03 9.43
0.0 14 65.02 9.56
62.26 14 130.03 9.56
0.0 14 130.03 9.56
0.0 14 130.03 9.56
0.0 14 130.03 9.56
0.0 14 130.03 9.56
62.25 9 130.03 9.68
62.26 10 130.03 9.81
62.26 11 130.03 9.94
62.25 12 130.03 10.07
62.25 13 130.03 10.2
0.0 13 130.03 10.2
65.67 7 68.58 10.14
121.09 8 130.03 10.27
62.26 9 130.03 10.4
121.61 11 127.01 10.66
2.9 11 130.03 10.66
0.0 11 130.03 10.66
75.71 10 79.07 10.92
111.06 11 130.03 11.05
62.26 12 130.03 11.18
62.26 13 130.03 11.31
0.0 13 130.03 11.31
0.0 11 65.02 11.44
68.96 12 72.02 11.57
117.8 13 130.03 11.69
0.0 13 130.03 11.69
62.25 11 130.03 11.82
124.51 13 130.03 12.08
62.26 14 130.03 12.21
0.0 14 130.03 12.21
0.0 14 130.03 12.21
0.0 14 130.03 12.21
0.0 15 65.01 12.34
0.0 15 65.01 12.34
78.24 13 81.72 12.47
46.26 13 130.03 12.47
112.44 12 117.43 12.72
136.57 14 130.03 12.98
62.26 12 130.03 13.11
76.84 14 80.25 13.37
109.92 15 130.03 13.5
16.26 13 82.0 13.63
108.25 14 130.03 13.76
124.51 16 130.03 14.01
0.0 16 130.03 14.01
0.0 16 130.03 14.01
0.0 16 130.03 14.01
0.0 16 130.03 14.01
0.0 17 65.02 14.14
62.25 17 130.03 14.14
124.51 13 130.03 14.4
62.26 14 130.03 14.53
0.0 14 130.03 14.53
124.51 13 130.03 14.78
67.85 15 70.86 15.04
118.92 16 130.03 15.17
0.0 16 130.03 15.17
62.25 14 130.03 15.3
124.51 16 130.03 15.56
0.0 16 130.03 15.56
62.25 14 130.03 15.69
62.25 15 130.03 15.82
62.26 16 130.03 15.94
62.25 17 130.03 16.07
0.0 17 130.03 16.07
0.0 17 130.03 16.07
0.0 17 130.03 16.07
0.0 18 65.01 16.2
42.28 18 109.18 16.2
19.97 18 130.03 16.2
0.0 18 130.03 16.2
0.0 18 130.03 16.2
111.41 13 116.35 16.45
165.45 16 94.16 16.84
89.64 14 122.77 16.97
178.8 17 114.45 17.36
77.17 15 130.03 17.48
62.25 16 130.03 17.61
62.26 17 130.03 17.74
62.25 18 130.03 17.87
0.0 18 130.03 17.87
78.57 17 82.06 18.13
88.58 18 109.55 18.26
81.88 12 130.03 18.29
0.0 12 130.03 18.29
0.0 12 130.03 18.29
0.0 12 130.03 18.22
0.0 13 65.01 18.35
62.25 13 130.03 18.35
62.25 7 130.03 18.45
62.26 8 130.03 18.58
62.25 9 130.03 18.71
62.25 10 130.03 18.84
0.0 10 130.03 18.84
46.97 8 114.07 18.76
77.54 9 130.03 18.61
77.01 11 80.43 18.86
109.75 12 130.03 18.99
62.25 13 130.03 19.12
45.38 11 112.4 19.25
79.14 12 130.03 19.38
62.25 13 130.03 19.51
62.25 14 130.03 19.64
0.0 14 130.03 19.64
62.26 12 130.03 19.77
62.25 13 130.03 19.89
62.26 14 130.03 20.02
62.25 15 130.03 20.15
0.0 15 130.03 20.15
62.26 13 130.03 20.28
62.25 14 130.03 20.41
62.26 16 65.02 20.67
62.25 16 130.03 20.67
0.0 16 130.03 20.67
0.0 16 130.03 20.67
0.0 16 130.03 20.67
0.0 16 130.03 20.67
0.0 16 130.03 20.67
0.0 16 130.03 20.67
22.47 11 88.48 20.79
102.04 12 130.03 20.92
110.02 14 114.9 21.18
76.74 15 130.03 21.31
38.38 13 105.1 21.44
86.03 14 130.03 21.57
62.25 15 130.03 21.69
62.25 16 130.03 21.82
0.0 16 130.03 21.82
62.25 14 130.03 21.95
124.51 16 130.03 22.21
0.0 16 130.03 22.21
0.0 16 130.03 22.21
0.0 16 130.03 22.21
0.0 16 130.03 22.21
0.0 16 130.03 22.21
27.7 17 93.94 22.34
34.56 17 130.03 22.34
0.0 17 130.03 22.34
124.51 13 130.03 22.59
99.62 15 104.05 22.85
87.14 16 130.03 22.98
0.0 16 130.03 22.98
91.84 15 95.92 23.24
94.92 16 130.03 23.37
62.26 17 130.03 23.49
0.0 17 130.03 23.49
74.52 16 77.83 23.75
112.24 17 130.03 23.88
0.0 17 130.03 23.88
0.0 17 130.03 23.88
0.0 17 130.03 23.88
0.0 17 130.03 23.88
0.0 18 65.02 24.01
62.26 18 130.03 24.01
0.0 18 130.03 24.01
62.25 13 130.03 24.13
62.25 14 130.03 24.26
124.51 16 130.03 24.52
62.26 17 130.03 24.65
30.24 15 96.6 24.78
156.51 17 130.03 25.04
77.49 16 80.92 25.29
109.28 17 130.03 25.42
62.25 18 130.03 25.55
0.0 18 130.03 25.55
62.25 16 130.03 25.68
62.26 17 130.03 25.81
62.26 18 130.03 25.94
62.25 19 130.03 26.07
0.0 19 130.03 26.07
0.0 19 130.03 26.07
