threads,material,batch_size,Flush(GB),Cumulative compaction write size,Cumulative compaction write throughput,Cumulative compaction read size,Cumulative compaction read throughput,Cumulative compaction time,Interval compaction write size,Interval compaction write throughput,Interval compaction read size,Interval compaction read throughput,Interval compaction time,level0_slowdown,level0_slowdown_with_compaction,level0_numfiles,level0_numfiles_with_compaction,stop for pending_compaction_bytes,slowdown for pending_compaction_bytes,memtable_compaction,memtable_slowdown,total_write_op,total_write_size(MB),rocksdb.block.cache.miss,rocksdb.block.cache.hit,rocksdb.block.cache.add,rocksdb.db.mutex.wait.micros,read_latency_level0_Count,read_latency_level0_Average,read_latency_level0_StdDev,read_latency_level1_Count,read_latency_level1_Average,read_latency_level1_StdDev,read_latency_level2_Count,read_latency_level2_Average,read_latency_level2_StdDev,read_latency_level3_Count,read_latency_level3_Average,read_latency_level3_StdDev,read_latency_level4_Count,read_latency_level4_Average,read_latency_level4_StdDev,read_latency_level5_Count,read_latency_level5_Average,read_latency_level5_StdDev,read_latency_level6_Count,read_latency_level6_Average,read_latency_level6_StdDev
1CPU,SATASSD,64MB,43.068,352.51,176.35,324.07,162.12,2202.9,22.94,95.15,25.53,105.9,135.1,509,86,0,0,0,0,0,0,400M,46919.68,126927159,15108,42638282,0, 12819876, 1.1118, 1.63, 24087434, 0.9560, 2.45, 66183418, 1.1469, 1.76, 23824961, 1.6366, 1.27,0,0,0,0,0,0,0,0,0
1CPU,SATASSD,128MB,42.948,285.83,150.18,257.3,135.19,2068.1,0.0,0.0,0.0,0.0,0.0,113,39,0,0,0,0,0,0,400M,46919.68,107999756,12123,41019575,0, 11980327, 1.0135, 2.36, 22446743, 0.9469, 2.98, 69862418, 1.2364, 2.07, 3703237, 1.5765, 1.54,0,0,0,0,0,0,0,0,0
1CPU,SATASSD,512MB,42.442,297.86,168.68,269.9,152.84,1867.1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,400M,46919.68,110382670,12253,40419283,0, 11721737, 0.9388, 6.63, 17710994, 0.9515, 4.01, 80101938, 1.1969, 3.82, 819044, 1.5657, 3.02,0,0,0,0,0,0,0,0,0
1CPU,SATASSD,256MB,42.831,302.06,180.76,274.12,164.04,1806.9,66.7,133.62,66.55,133.33,403.5,0,0,0,0,0,0,0,0,400M,46919.68,112498329,13483,41257452,0, 12381284, 0.9608, 3.30, 21138134, 0.9353, 3.14, 76875864, 1.2190, 2.87, 2066677, 1.5945, 1.27,0,0,0,0,0,0,0,0,0
1CPU,NVMeSSD,64MB,43.068,386.55,243.6,358.18,225.72,1593.1,63.47,152.97,66.62,160.58,264.7,57,49,0,0,0,0,0,0,400M,46919.68,135459884,14773,42327860,0, 12442546, 0.9927, 1.04, 23578184, 0.8822, 1.63, 60313047, 0.9678, 1.56, 39124109, 1.5917, 1.06,0,0,0,0,0,0,0,0,0
1CPU,NVMeSSD,128MB,42.948,376.85,241.54,348.71,223.51,1602.2,66.26,170.66,70.24,180.91,274.5,3,3,0,0,0,0,0,0,400M,46919.68,132058738,14656,41380044,0, 12293464, 0.9354, 1.39, 20445220, 0.8803, 2.24, 59987588, 0.9526, 2.21, 39305242, 1.5353, 1.41,0,0,0,0,0,0,0,0,0
1CPU,NVMeSSD,512MB,42.442,413.06,234.25,385.05,218.36,1663.8,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,400M,46919.68,139916263,12234,40101856,0, 10979257, 0.8323, 6.64, 10983187, 0.8836, 4.63, 63138117, 0.8645, 4.40, 54788961, 1.3528, 3.09,0,0,0,0,0,0,0,0,0
1CPU,NVMeSSD,256MB,42.831,403.59,247.18,375.17,229.77,1593.4,78.62,170.59,80.42,174.49,318.0,0,0,0,0,0,0,0,0,400M,46919.68,138825282,13284,41391179,0, 11880489, 0.8971, 1.97, 18251936, 0.9149, 2.90, 60277649, 0.9293, 3.20, 48389401, 1.4328, 2.18,0,0,0,0,0,0,0,0,0
1CPU,SATAHDD,64MB,43.068,316.26,84.91,287.68,77.23,4461.8,15.15,72.52,17.29,82.73,149.0,1069,146,0,0,0,0,61,0,400M,46919.68,116860627,13177,42007143,0, 12162441, 1.3494, 6.22, 24848707, 1.1534, 2.62, 69882996, 1.3283, 1.68, 9959987, 1.6004, 1.43,0,0,0,0,0,0,0,0,0
1CPU,SATAHDD,128MB,42.948,268.14,99.36,239.68,88.81,3253.4,23.31,65.69,25.02,70.51,231.8,226,61,0,0,0,0,1,0,400M,46919.68,105239573,13974,42826856,0, 13998594, 1.2089, 2.25, 22296843, 1.0511, 3.46, 66988461, 1.3443, 8.79, 1941922, 1.6565, 1.77,0,0,0,0,0,0,0,0,0
1CPU,SATAHDD,512MB,42.442,202.42,99.35,173.76,85.28,2697.4,24.08,86.13,27.64,98.87,284.0,4,4,0,0,0,0,0,0,400M,46919.68,87091378,12355,41915834,0, 14389104, 1.1475, 6.38, 23137460, 1.1383, 5.54, 49535183, 1.4350, 4.00,0,0,0,0,0,0,0,0,0,0,0,0
