,IOPS,threads,batch_size,device
6,255359,2,64MB,NVMeSSD
7,347410,4,64MB,NVMeSSD
8,349777,6,64MB,NVMeSSD
9,350483,8,64MB,NVMeSSD
0,348279,10,64MB,NVMeSSD
1,347806,12,64MB,NVMeSSD
2,345879,14,64MB,NVMeSSD
3,341306,16,64MB,NVMeSSD
4,338654,18,64MB,NVMeSSD
5,334746,20,64MB,NVMeSSD
16,274408,2,64MB,PM
17,350708,4,64MB,PM
18,351693,6,64MB,PM
19,352527,8,64MB,PM
10,351182,10,64MB,PM
11,358100,12,64MB,PM
12,354859,14,64MB,PM
13,355481,16,64MB,PM
14,356704,18,64MB,PM
15,348633,20,64MB,PM
26,107790,2,64MB,SATAHDD
27,166869,4,64MB,SATAHDD
28,143604,6,64MB,SATAHDD
29,167803,8,64MB,SATAHDD
20,133472,10,64MB,SATAHDD
21,151917,12,64MB,SATAHDD
22,137301,14,64MB,SATAHDD
23,126144,16,64MB,SATAHDD
24,143343,18,64MB,SATAHDD
25,131532,20,64MB,SATAHDD
36,161172,2,64MB,SATASSD
37,239403,4,64MB,SATASSD
38,242857,6,64MB,SATASSD
39,240395,8,64MB,SATASSD
30,240642,10,64MB,SATASSD
31,235216,12,64MB,SATASSD
32,232431,14,64MB,SATASSD
33,228884,16,64MB,SATASSD
34,229030,18,64MB,SATASSD
35,224541,20,64MB,SATASSD
