device "thread number" "batch size" "value size" AVG P99 P99.99 Tuner
"NVMe SSD" 2 64MB 10 2.8175 5.12 20.99 FEAT
"NVMe SSD" 2 64MB 1000 11.0798 19.96 1293.36 FEAT
"NVMe SSD" 2 64MB 5000 45.0366 994.06 1298.33 FEAT
PM 2 64MB 10 2.8172 5.01 21.09 FEAT
PM 2 64MB 1000 8.5468 27.17 180.23 FEAT
PM 2 64MB 5000 32.0551 910.71 1297.5 FEAT
"SATA HDD" 2 64MB 10 2.9937 5.14 21.36 FEAT
"SATA HDD" 2 64MB 1000 44.6398 14.35 1285.0 FEAT
"SATA HDD" 2 64MB 5000 243.7183 1143.57 1299.07 FEAT
"SATA SSD" 2 64MB 10 2.8101 5.07 33.11 FEAT
"SATA SSD" 2 64MB 1000 23.25 25.13 1295.71 FEAT
"SATA SSD" 2 64MB 5000 104.194 1200.97 1299.49 FEAT
