device "flush gap" "value size" "tune frequency" "flush speed" Stdev throughput Tuner
"SATA SSD" 0.4 100 0.34 145.01 78.37 28.9 FEAT
"SATA SSD" 0.4 1000 0.38 105.36 74.35 65.5 FEAT
"SATA SSD" 0.6 100 0.37 127.16 78.61 28.1 FEAT
"SATA SSD" 0.6 1000 0.38 99.62 52.96 62.8 FEAT
"SATA SSD" 0.8 100 0.35 129.43 73.06 28.9 FEAT
"SATA SSD" 0.8 1000 0.42 94.9 55.53 60.6 FEAT
"SATA SSD" 1.0 100 0.37 113.99 69.44 27.9 FEAT
"SATA SSD" 1.0 1000 0.45 108.8 79.6 59.6 FEAT
"SATA SSD" 1.2 100 0.35 112.3 71.66 28.5 FEAT
"SATA SSD" 1.2 1000 0.4 98.77 68.89 56.6 FEAT
"SATA SSD" 1.4 100 0.35 118.05 71.9 28.4 FEAT
"SATA SSD" 1.4 1000 0.47 91.24 63.84 62.3 FEAT
"SATA SSD" 1.6 100 0.36 117.09 70.02 28.6 FEAT
"SATA SSD" 1.6 1000 0.38 102.71 74.34 59.6 FEAT
"SATA SSD" 1.8 100 0.35 125.98 71.48 28.4 FEAT
"SATA SSD" 1.8 1000 0.47 94.09 68.04 60.8 FEAT
"SATA SSD" 2 100 0.37 129.49 74.18 29.1 FEAT
"SATA SSD" 2 1000 0.4 92.9 60.93 62.4 FEAT
