device "idle ratio" "value size" max_cpu avg_cpu max_io avg_io throughput
"SATA SSD" 0.4 100 258.7 55.39 455.82 215.42960066555742 28.2
"SATA SSD" 0.4 1000 250.7 29.43 515.56 245.805223880597 62.2
"SATA SSD" 0.6 100 299.7 48.0 507.29 209.398768718802 26.7
"SATA SSD" 0.6 1000 231.8 33.47 514.5 255.34978369384353 64.4
"SATA SSD" 0.8 100 247.7 42.8 460.46 201.04559068219632 26.7
"SATA SSD" 0.8 1000 258.7 29.43 514.69 256.6969155844156 62.7
"SATA SSD" 1.0 100 282.7 49.2 514.43 205.70325581395352 27.2
"SATA SSD" 1.0 1000 251.7 36.44 512.41 246.75949675324676 60.5
"SATA SSD" 1.2 100 265.7 50.38 480.43 215.6356738768719 28.1
"SATA SSD" 1.2 1000 245.7 30.89 514.33 241.14580431177444 62.1
"SATA SSD" 1.4 100 289.7 42.46 496.69 217.99871074380167 28.9
"SATA SSD" 1.4 1000 209.8 27.61 515.01 224.99988372093023 57.3
"SATA SSD" 1.6 100 278.7 24.79 496.31 215.54205980066448 28.4
"SATA SSD" 1.6 1000 248.7 29.63 514.98 246.9119370860927 60.9
"SATA SSD" 1.8 100 320.7 33.77 511.81 217.61480865224627 28.5
"SATA SSD" 1.8 1000 256.7 33.35 513.57 246.425568369028 60.3
"SATA SSD" 2 100 292.7 49.86 506.91 213.00270315091208 27.2
"SATA SSD" 2 1000 257.7 31.96 513.52 229.8831343283582 62.7
