device "thread number" "batch size" "value size" AVG P99 P99.99 Tuner
"NVMe SSD" 2 64MB 10 2.655 4.0 20.92 Default
"NVMe SSD" 2 64MB 1000 15.7318 896.73 1296.35 Default
"NVMe SSD" 2 64MB 5000 70.3356 1221.08 1458.88 Default
PM 2 64MB 10 2.6884 4.01 21.0 Default
PM 2 64MB 1000 13.4418 21.59 1295.7 Default
PM 2 64MB 5000 57.0495 1205.82 1299.83 Default
"SATA HDD" 2 64MB 10 2.9707 7.14 1041.27 Default
"SATA HDD" 2 64MB 1000 46.1919 1148.52 1299.66 Default
"SATA HDD" 2 64MB 5000 221.9074 1284.07 8312.87 Default
"SATA SSD" 2 64MB 10 2.6598 3.99 21.71 Default
"SATA SSD" 2 64MB 1000 24.1502 1029.81 1298.15 Default
"SATA SSD" 2 64MB 5000 113.5689 1246.75 1811.38 Default
