,device,thread number,batch size,latency type,latency
0,NVMeSSD,1,1024MB,Average,2.7087
24,NVMeSSD,4,1024MB,Average,2.6868
12,NVMeSSD,20,1024MB,Average,2.6559
2,NVMeSSD,1,1024MB,Max,38817.0
26,NVMeSSD,4,1024MB,Max,12341.0
14,NVMeSSD,20,1024MB,Max,177.0
1,NVMeSSD,1,1024MB,P99,8.23
25,NVMeSSD,4,1024MB,P99,8.25
13,NVMeSSD,20,1024MB,P99,8.17
36,PM,1,1024MB,Average,2.6763
60,PM,4,1024MB,Average,2.6557
48,PM,20,1024MB,Average,2.6668
38,PM,1,1024MB,Max,39872.0
62,PM,4,1024MB,Max,39582.0
50,PM,20,1024MB,Max,45226.0
37,PM,1,1024MB,P99,8.27
61,PM,4,1024MB,P99,8.24
49,PM,20,1024MB,P99,8.21
72,SATAHDD,1,1024MB,Average,2.7138
96,SATAHDD,4,1024MB,Average,2.6629
84,SATAHDD,20,1024MB,Average,2.7708
74,SATAHDD,1,1024MB,Max,45390.0
98,SATAHDD,4,1024MB,Max,2896.0
86,SATAHDD,20,1024MB,Max,53806.0
73,SATAHDD,1,1024MB,P99,8.22
97,SATAHDD,4,1024MB,P99,8.17
85,SATAHDD,20,1024MB,P99,8.2
108,SATASSD,1,1024MB,Average,2.7413
132,SATASSD,4,1024MB,Average,2.7415
120,SATASSD,20,1024MB,Average,2.6846
110,SATASSD,1,1024MB,Max,39050.0
134,SATASSD,4,1024MB,Max,20122.0
122,SATASSD,20,1024MB,Max,60128.0
109,SATASSD,1,1024MB,P99,8.26
133,SATASSD,4,1024MB,P99,8.28
121,SATASSD,20,1024MB,P99,8.25
3,NVMeSSD,1,128MB,Average,2.6918
27,NVMeSSD,4,128MB,Average,2.7067
15,NVMeSSD,20,128MB,Average,2.6839
5,NVMeSSD,1,128MB,Max,15194.0
29,NVMeSSD,4,128MB,Max,9335.0
17,NVMeSSD,20,128MB,Max,9103.0
4,NVMeSSD,1,128MB,P99,9.52
28,NVMeSSD,4,128MB,P99,9.53
16,NVMeSSD,20,128MB,P99,9.48
39,PM,1,128MB,Average,2.6751
63,PM,4,128MB,Average,2.7528
51,PM,20,128MB,Average,2.6709
41,PM,1,128MB,Max,3035.0
65,PM,4,128MB,Max,9356.0
53,PM,20,128MB,Max,9272.0
40,PM,1,128MB,P99,9.46
64,PM,4,128MB,P99,9.53
52,PM,20,128MB,P99,9.47
75,SATAHDD,1,128MB,Average,2.7663
99,SATAHDD,4,128MB,Average,2.8364
87,SATAHDD,20,128MB,Average,2.794
77,SATAHDD,1,128MB,Max,10641.0
101,SATAHDD,4,128MB,Max,358.0
89,SATAHDD,20,128MB,Max,9342.0
76,SATAHDD,1,128MB,P99,9.53
100,SATAHDD,4,128MB,P99,9.57
88,SATAHDD,20,128MB,P99,9.57
111,SATASSD,1,128MB,Average,2.7033
135,SATASSD,4,128MB,Average,2.7204
123,SATASSD,20,128MB,Average,2.7085
113,SATASSD,1,128MB,Max,760.0
137,SATASSD,4,128MB,Max,8120.0
125,SATASSD,20,128MB,Max,2942.0
112,SATASSD,1,128MB,P99,9.5
136,SATASSD,4,128MB,P99,9.49
124,SATASSD,20,128MB,P99,9.5
6,NVMeSSD,1,512MB,Average,2.7551
30,NVMeSSD,4,512MB,Average,2.7261
18,NVMeSSD,20,512MB,Average,2.6873
8,NVMeSSD,1,512MB,Max,11524.0
32,NVMeSSD,4,512MB,Max,11457.0
20,NVMeSSD,20,512MB,Max,17380.0
7,NVMeSSD,1,512MB,P99,9.21
31,NVMeSSD,4,512MB,P99,9.15
19,NVMeSSD,20,512MB,P99,9.09
42,PM,1,512MB,Average,2.7089
66,PM,4,512MB,Average,2.7022
54,PM,20,512MB,Average,2.705
44,PM,1,512MB,Max,11849.0
68,PM,4,512MB,Max,23588.0
56,PM,20,512MB,Max,17325.0
43,PM,1,512MB,P99,9.13
67,PM,4,512MB,P99,9.11
55,PM,20,512MB,P99,9.11
78,SATAHDD,1,512MB,Average,2.7909
102,SATAHDD,4,512MB,Average,2.7428
90,SATAHDD,20,512MB,Average,2.7506
80,SATAHDD,1,512MB,Max,23566.0
