,device,thread number,batch size,stall type,stall amount
0,NVMeSSD,1 ,128MB,level0,96
1,NVMeSSD,1 ,128MB,pending_compaction_bytes,454
2,NVMeSSD,1 ,128MB,memtable,0
3,NVMeSSD,1 ,64MB,level0,1607
4,NVMeSSD,1 ,64MB,pending_compaction_bytes,2105
5,NVMeSSD,1 ,64MB,memtable,0
6,NVMeSSD,20 ,128MB,level0,0
7,NVMeSSD,20 ,128MB,pending_compaction_bytes,0
8,NVMeSSD,20 ,128MB,memtable,0
9,NVMeSSD,20 ,64MB,level0,0
10,NVMeSSD,20 ,64MB,pending_compaction_bytes,0
11,NVMeSSD,20 ,64MB,memtable,44
12,NVMeSSD,4 ,128MB,level0,0
13,NVMeSSD,4 ,128MB,pending_compaction_bytes,0
14,NVMeSSD,4 ,128MB,memtable,0
15,NVMeSSD,4 ,64MB,level0,0
16,NVMeSSD,4 ,64MB,pending_compaction_bytes,0
17,NVMeSSD,4 ,64MB,memtable,0
18,PM,1 ,128MB,level0,16
19,PM,1 ,128MB,pending_compaction_bytes,327
20,PM,1 ,128MB,memtable,0
21,PM,1 ,64MB,level0,411
22,PM,1 ,64MB,pending_compaction_bytes,1235
23,PM,1 ,64MB,memtable,0
24,PM,20 ,128MB,level0,0
25,PM,20 ,128MB,pending_compaction_bytes,0
26,PM,20 ,128MB,memtable,0
27,PM,20 ,64MB,level0,0
28,PM,20 ,64MB,pending_compaction_bytes,0
29,PM,20 ,64MB,memtable,0
30,PM,4 ,128MB,level0,0
31,PM,4 ,128MB,pending_compaction_bytes,0
32,PM,4 ,128MB,memtable,0
33,PM,4 ,64MB,level0,0
34,PM,4 ,64MB,pending_compaction_bytes,0
35,PM,4 ,64MB,memtable,0
36,SATAHDD,1 ,128MB,level0,581
37,SATAHDD,1 ,128MB,pending_compaction_bytes,1765
38,SATAHDD,1 ,128MB,memtable,33
39,SATAHDD,1 ,64MB,level0,2399
40,SATAHDD,1 ,64MB,pending_compaction_bytes,3470
41,SATAHDD,1 ,64MB,memtable,54
42,SATAHDD,20 ,128MB,level0,48
43,SATAHDD,20 ,128MB,pending_compaction_bytes,149
44,SATAHDD,20 ,128MB,memtable,1172
45,SATAHDD,20 ,64MB,level0,392
46,SATAHDD,20 ,64MB,pending_compaction_bytes,114
47,SATAHDD,20 ,64MB,memtable,2748
48,SATAHDD,4 ,128MB,level0,39
49,SATAHDD,4 ,128MB,pending_compaction_bytes,1495
50,SATAHDD,4 ,128MB,memtable,628
51,SATAHDD,4 ,64MB,level0,1617
52,SATAHDD,4 ,64MB,pending_compaction_bytes,3048
53,SATAHDD,4 ,64MB,memtable,1156
54,SATASSD,1 ,128MB,level0,300
55,SATASSD,1 ,128MB,pending_compaction_bytes,1137
56,SATASSD,1 ,128MB,memtable,1
57,SATASSD,1 ,64MB,level0,2133
58,SATASSD,1 ,64MB,pending_compaction_bytes,2813
59,SATASSD,1 ,64MB,memtable,0
60,SATASSD,20 ,128MB,level0,0
61,SATASSD,20 ,128MB,pending_compaction_bytes,47
62,SATASSD,20 ,128MB,memtable,812
63,SATASSD,20 ,64MB,level0,306
64,SATASSD,20 ,64MB,pending_compaction_bytes,59
65,SATASSD,20 ,64MB,memtable,2323
66,SATASSD,4 ,128MB,level0,20
67,SATASSD,4 ,128MB,pending_compaction_bytes,755
68,SATASSD,4 ,128MB,memtable,132
69,SATASSD,4 ,64MB,level0,1159
70,SATASSD,4 ,64MB,pending_compaction_bytes,2713
71,SATASSD,4 ,64MB,memtable,584
