THD,material,batch_size,Flush(GB),Cumulative compaction write size,Cumulative compaction write throughput,Cumulative compaction read size,Cumulative compaction read throughput,Cumulative compaction time,Interval compaction write size,Interval compaction write throughput,Interval compaction read size,Interval compaction read throughput,Interval compaction time,level0_slowdown,level0_slowdown_with_compaction,level0_numfiles,level0_numfiles_with_compaction,stop for pending_compaction_bytes,slowdown for pending_compaction_bytes,memtable_compaction,memtable_slowdown,total_write_op,total_write_size(MB),rocksdb.block.cache.miss,rocksdb.block.cache.hit,rocksdb.block.cache.add,rocksdb.db.mutex.wait.micros,read_latency_level0_Count,read_latency_level0_Average,read_latency_level0_StdDev,read_latency_level1_Count,read_latency_level1_Average,read_latency_level1_StdDev,read_latency_level2_Count,read_latency_level2_Average,read_latency_level2_StdDev,read_latency_level3_Count,read_latency_level3_Average,read_latency_level3_StdDev,read_latency_level4_Count,read_latency_level4_Average,read_latency_level4_StdDev,read_latency_level5_Count,read_latency_level5_Average,read_latency_level5_StdDev,read_latency_level6_Count,read_latency_level6_Average,read_latency_level6_StdDev
1,NVMeSSD,128MB,115.296,1098.66,260.81,1021.05,242.39,4777.2,29.03,261.92,31.86,287.48,108.4,48,48,0,0,0,454,0,0,1000M,124928.0,280536199,2148,10832347,0, 30857452, 0.9508, 1.39, 63212314, 0.8424, 2.00, 148489676, 0.8670, 1.84, 37999680, 1.1312, 2.23,0,0,0,0,0,0,0,0,0
1,NVMeSSD,512MB,114.637,973.5,262.61,889.57,239.97,3728.1,52.71,275.56,55.06,287.83,207.9,0,0,0,0,0,0,0,0,1000M,124928.0,245617292,1726,10639235,0, 30386605, 0.8952, 3.20, 57878906, 0.8522, 3.97, 143293693, 0.8621, 4.19, 14048339, 1.4169, 5.33,0,0,0,0,0,0,0,0,0
1,NVMeSSD,64MB,115.43,1212.77,197.03,1136.08,184.57,7055.2,61.89,209.33,61.86,209.24,310.8,1413,194,0,0,0,2105,0,0,1000M,124928.0,310519701,2162,10627105,0, 30731571, 1.0031, 1.15, 64847150, 0.8489, 1.53, 152707948, 0.8669, 1.25, 62320613, 1.0350, 1.38,0,0,0,0,0,0,0,0,0
20,NVMeSSD,128MB,115.296,1406.25,418.59,1326.03,394.71,10691.6,180.92,421.22,174.56,406.4,1164.1,0,0,0,0,0,0,0,0,1000M,124928.0,360383326,1359,10425746,0, 44322738, 0.9495, 10.84, 52487607, 0.8954, 2.21, 142305266, 0.9348, 9.72, 118786881, 1.0068, 21.57,0,0,0,0,0,0,0,0,0
20,NVMeSSD,512MB,114.637,1026.74,275.54,943.52,253.21,4461.7,53.61,254.58,52.93,251.33,230.6,0,0,0,0,0,0,0,0,1000M,124928.0,259448288,1199,10364050,0, 30251145, 0.9100, 8.42, 58419047, 0.8611, 5.44, 150560807, 0.8676, 5.40, 20106436, 1.2609, 12.27,0,0,0,0,0,0,0,0,0
20,NVMeSSD,64MB,115.43,1483.09,457.91,1398.32,431.73,17498.0,133.39,431.58,130.17,421.16,1715.8,0,0,0,0,0,0,44,0,1000M,124928.0,379196923,1319,10264314,0, 50976190, 0.9973, 51.23, 46940745, 0.9405, 1.75, 121510910, 0.9968, 25.39, 146199933, 1.0216, 24.06, 9013334, 1.6373, 38.80,0,0,0,0,0,0
4,NVMeSSD,128MB,115.296,1423.08,435.02,1343.02,410.55,6656.8,136.12,398.55,131.66,385.5,646.5,0,0,0,0,0,0,0,0,1000M,124928.0,364878551,1359,10424643,0, 36376875, 0.9451, 2.76, 56376830, 0.9005, 2.29, 159632848, 0.9083, 4.12, 111937129, 0.9833, 2.31,0,0,0,0,0,0,0,0,0
4,NVMeSSD,512MB,114.637,1020.88,272.47,938.15,250.38,4130.7,66.37,287.14,65.69,284.21,278.1,0,0,0,0,0,0,0,0,1000M,124928.0,257845635,1312,10183066,0, 30210654, 0.8782, 3.27, 59191019, 0.8489, 4.40, 148299211, 0.8619, 4.62, 20071759, 1.2616, 5.00,0,0,0,0,0,0,0,0,0
4,NVMeSSD,64MB,115.43,1575.26,495.35,1490.8,468.79,7771.5,113.43,453.08,112.41,449.02,609.5,0,0,0,0,0,0,0,0,1000M,124928.0,403575068,1506,10247890,0, 43098764, 0.9774, 13.81, 55361865, 0.9372, 6.55, 156699798, 0.9610, 3.23, 140979779, 0.9784, 3.69, 6946535, 1.7346, 2.13,0,0,0,0,0,0
1,PM,128MB,115.296,1178.97,311.1,1101.22,290.59,4210.0,81.59,297.82,82.54,301.3,290.9,8,8,0,0,0,327,0,0,1000M,124928.0,301439818,2275,10726286,0, 30897414, 0.9076, 1.09, 62855789, 0.8166, 1.44, 157745806, 0.8298, 1.34, 49965034, 1.0362, 1.48,0,0,0,0,0,0,0,0,0
