Device duration workload "value size" Tuner qps
PM 1200 uniform 100 FEAT 348098
PM 1200 uniform 1000 FEAT 235125
PM 1200 uniform 5000 FEAT 41029
PM 1200 uniform 100 default 325483
PM 1200 uniform 1000 default 74394
PM 1200 uniform 5000 default 17528
PM 3600 uniform 100 default 274408
PM 3600 uniform 100 FEAT 340256
NVMeSSD 1200 uniform 100 FEAT 351498
NVMeSSD 1200 uniform 1000 FEAT 92654
NVMeSSD 1200 uniform 5000 FEAT 21229
NVMeSSD 1200 uniform 100 default 259489
NVMeSSD 1200 uniform 1000 default 63565
NVMeSSD 1200 uniform 5000 default 14217
NVMeSSD 3600 uniform 100 default 255359
NVMeSSD 3600 uniform 100 FEAT 295439
SATASSD 1200 uniform 100 FEAT 267212
SATASSD 1200 uniform 1000 FEAT 49950
SATASSD 1200 uniform 5000 FEAT 10911
SATASSD 1200 uniform 100 default 168025
SATASSD 1200 uniform 1000 default 41407
SATASSD 1200 uniform 5000 default 8805
SATASSD 3600 uniform 100 default 161172
SATASSD 3600 uniform 100 FEAT 253997
SATAHDD 1200 uniform 100 FEAT 155897
SATAHDD 1200 uniform 1000 FEAT 36734
SATAHDD 1200 uniform 5000 FEAT 6831
SATAHDD 1200 uniform 100 default 148150
SATAHDD 1200 uniform 1000 default 21648
SATAHDD 1200 uniform 5000 default 4506
SATAHDD 3600 uniform 100 default 107790
SATAHDD 3600 uniform 100 FEAT 130271
