Device duration workload "value size" Tuner qps
PM YCSBload60GB zipfian 1000 default 77195
PM YCSBload60GB latest 1000 default 77366
PM YCSBload60GB uniform 1000 default 78008
PM YCSBload60GB zipfian 1000 FEAT 220706
PM YCSBload60GB latest 1000 FEAT 193956
PM YCSBload60GB uniform 1000 FEAT 213463
NVMeSSD YCSBload60GB zipfian 1000 default 43108
NVMeSSD YCSBload60GB latest 1000 default 44283
NVMeSSD YCSBload60GB uniform 1000 default 44470
NVMeSSD YCSBload60GB zipfian 1000 FEAT 104721
NVMeSSD YCSBload60GB latest 1000 FEAT 87877
NVMeSSD YCSBload60GB uniform 1000 FEAT 121511
SATASSD YCSBload60GB zipfian 1000 default 23992
SATASSD YCSBload60GB latest 1000 default 24202
SATASSD YCSBload60GB uniform 1000 default 24033
SATASSD YCSBload60GB zipfian 1000 FEAT 37630
SATASSD YCSBload60GB latest 1000 FEAT 38551
SATASSD YCSBload60GB uniform 1000 FEAT 46734
SATAHDD YCSBload60GB zipfian 1000 default 12759
SATAHDD YCSBload60GB latest 1000 default 15221
SATAHDD YCSBload60GB uniform 1000 default 14522
SATAHDD YCSBload60GB zipfian 1000 FEAT 16250
SATAHDD YCSBload60GB latest 1000 FEAT 18391
SATAHDD YCSBload60GB uniform 1000 FEAT 21720
