device l0_file throughput
PM 3 167390.83
PM 4 194692.57
PM 5 172802.83
PM 6 158417.97
PM 7 164994.26
PM 8 166607.39
PM 9 169656.7
PM 10 162917.26
PM 11 158813.61
PM 12 163898.53
PM 13 166089.77
PM 14 173633.26
PM 15 176981.08
PM 16 172400.18
PM 17 175802.57
PM 18 181851.16
PM 19 187088.06
PM 20 80537.32
PM 0 24732.87
PM 1 55023.51
PM 2 97865.74
PM 21 7634.54
PM 22 7410.98
NVMeSSD 2 67528.18
NVMeSSD 3 113928.48
NVMeSSD 4 117497.35
NVMeSSD 5 115090.96
NVMeSSD 6 114195.38
NVMeSSD 7 114606.46
NVMeSSD 8 109094.0
NVMeSSD 9 107432.09
NVMeSSD 10 110405.73
NVMeSSD 11 115562.74
NVMeSSD 12 98864.35
NVMeSSD 13 95553.43
NVMeSSD 14 96109.95
NVMeSSD 15 95058.77
NVMeSSD 16 103316.95
NVMeSSD 17 101548.24
NVMeSSD 18 84682.88
NVMeSSD 19 121907.1
NVMeSSD 20 72160.2
NVMeSSD 0 28522.0
NVMeSSD 1 54803.42
NVMeSSD 21 13896.94
NVMeSSD 22 7606.72
NVMeSSD 23 7403.57
NVMeSSD 24 6773.39
SATASSD 0 124508.5
SATASSD 1 
SATASSD 2 77829.65
SATASSD 3 106629.39
SATASSD 4 
SATASSD 5 89705.86
SATASSD 6 70174.9
SATASSD 7 92963.54
SATASSD 8 71575.19
SATASSD 9 68935.01
SATASSD 10 59297.23
SATASSD 11 66781.61
SATASSD 12 62995.82
SATASSD 13 58058.1
SATASSD 14 65733.31
SATASSD 15 60270.15
SATASSD 16 60626.03
SATASSD 17 60315.49
SATASSD 18 57851.3
SATASSD 19 60776.89
SATASSD 20 15452.55
SATASSD 21 6953.68
SATASSD 22 6818.46
SATASSD 23 7235.37
SATASSD 24 7247.88
SATASSD 25 6757.86
SATASSD 26 5880.09
SATASSD 27 5709.56
SATAHDD 0 124510.0
SATAHDD 1 
SATAHDD 2 95635.92
SATAHDD 3 
SATAHDD 4 70993.97
SATAHDD 5 73068.4
SATAHDD 6 46638.24
SATAHDD 7 38398.95
SATAHDD 8 54464.56
SATAHDD 9 47412.03
SATAHDD 10 40245.21
SATAHDD 11 38500.68
SATAHDD 12 38174.38
SATAHDD 13 44063.61
SATAHDD 14 41666.6
SATAHDD 15 41351.4
SATAHDD 16 40181.75
SATAHDD 17 42222.29
SATAHDD 18 42534.0
SATAHDD 19 39755.42
SATAHDD 20 10868.81
SATAHDD 21 5846.16
SATAHDD 22 5068.94
SATAHDD 23 6826.37
SATAHDD 24 6682.98
SATAHDD 25 6429.57
SATAHDD 26 6299.69
SATAHDD 27 6047.29
SATAHDD 28 5369.63
SATAHDD 29 4092.71
