device thread batch_size memory throughput
"NVMe SSD" 2 64MB 5 45905.78616352201
"NVMe SSD" 2 64MB 10 53271.03333333333
"NVMe SSD" 2 64MB 15 49314.10891089109
"NVMe SSD" 2 64MB 20 32630.381215469613
"NVMe SSD" 2 64MB 25 13042.378048780487
"NVMe SSD" 2 64MB 30 6884.216049382716
"NVMe SSD" 2 64MB 35 8090.187969924812
"NVMe SSD" 2 64MB 40 7876.066666666667
"NVMe SSD" 2 64MB 45 9548.835714285715
"NVMe SSD" 2 64MB 50 12432.480916030534
"NVMe SSD" 2 64MB 55 11207.593103448276
"NVMe SSD" 2 64MB 60 16967.105263157893
"NVMe SSD" 2 64MB 65 45092.86274509804
"NVMe SSD" 2 64MB 70 131384.5
"NVMe SSD" 2 64MB 75 133523.11111111112
"NVMe SSD" 2 64MB 80 121681.27777777778
"NVMe SSD" 2 64MB 85 109995.85714285714
"NVMe SSD" 2 64MB 90 109291.85714285714
"NVMe SSD" 2 64MB 95 122846.76190476191
"NVMe SSD" 2 64MB 100 111444.27272727272
"NVMe SSD" 2 64MB 105 116918.15
"NVMe SSD" 2 64MB 110 174425.5652173913
"NVMe SSD" 2 64MB 115 123868.0
"NVMe SSD" 2 64MB 120 144310.42857142858
PM 2 64MB 5 15482.213675213676
PM 2 64MB 10 8385.423357664233
PM 2 64MB 15 7896.927927927928
PM 2 64MB 20 10406.157303370786
PM 2 64MB 25 39969.718120805366
PM 2 64MB 30 57323.66857142857
PM 2 64MB 35 59241.06296296296
PM 2 64MB 40 95734.93962264151
PM 2 64MB 45 102938.86033519552
PM 2 64MB 50 101371.0663265306
PM 2 64MB 55 108812.35057471265
PM 2 64MB 60 53468.60759493671
PM 2 64MB 65 45342.19259259259
PM 2 64MB 70 66512.80555555556
PM 2 64MB 75 96227.66666666667
PM 2 64MB 80 91661.58139534884
PM 2 64MB 85 104140.18181818182
PM 2 64MB 90 94356.21875
PM 2 64MB 95 127647.65625
PM 2 64MB 100 88620.38461538461
PM 2 64MB 105 27824.14285714286
"SATA HDD" 2 64MB 5 21554.3
"SATA HDD" 2 64MB 10 14796.456140350878
"SATA HDD" 2 64MB 15 7735.705882352941
"SATA HDD" 2 64MB 20 5525.254437869822
"SATA HDD" 2 64MB 25 5147.479532163743
"SATA HDD" 2 64MB 30 5098.291925465838
"SATA HDD" 2 64MB 35 5347.918918918919
"SATA HDD" 2 64MB 40 5625.35
"SATA HDD" 2 64MB 45 5824.708029197081
"SATA HDD" 2 64MB 50 6114.41605839416
"SATA HDD" 2 64MB 55 6270.377049180328
"SATA HDD" 2 64MB 60 6911.6821705426355
"SATA HDD" 2 64MB 65 20914.564417177913
"SATA HDD" 2 64MB 70 19416.055555555555
"SATA HDD" 2 64MB 75 64363.0
"SATA HDD" 2 64MB 80 49162.90909090909
"SATA HDD" 2 64MB 85 47688.2
"SATA HDD" 2 64MB 90 48664.2
"SATA HDD" 2 64MB 95 60138.333333333336
"SATA HDD" 2 64MB 100 59410.2
"SATA HDD" 2 64MB 105 60744.5
"SATA HDD" 2 64MB 110 66762.0
"SATA HDD" 2 64MB 115 49248.25
"SATA HDD" 2 64MB 120 37905.22222222222
"SATA SSD" 2 64MB 5 22465.54098360656
"SATA SSD" 2 64MB 10 18025.42156862745
"SATA SSD" 2 64MB 15 9892.651041666666
"SATA SSD" 2 64MB 20 6076.417142857143
"SATA SSD" 2 64MB 25 5387.551948051948
"SATA SSD" 2 64MB 30 5546.875862068966
"SATA SSD" 2 64MB 35 5876.19696969697
"SATA SSD" 2 64MB 40 6259.838926174497
"SATA SSD" 2 64MB 45 6674.068181818182
"SATA SSD" 2 64MB 50 6863.076271186441
"SATA SSD" 2 64MB 55 7743.651515151515
"SATA SSD" 2 64MB 60 7607.2578125
"SATA SSD" 2 64MB 65 24252.474285714285
"SATA SSD" 2 64MB 70 39490.260869565216
"SATA SSD" 2 64MB 75 75811.5
"SATA SSD" 2 64MB 80 68342.1
"SATA SSD" 2 64MB 85 67895.0
"SATA SSD" 2 64MB 90 62874.73333333333
"SATA SSD" 2 64MB 95 79539.125
"SATA SSD" 2 64MB 100 80525.28571428571
"SATA SSD" 2 64MB 105 85208.72727272728
"SATA SSD" 2 64MB 110 54523.333333333336
"SATA SSD" 2 64MB 115 96781.38461538461
"SATA SSD" 2 64MB 120 51739.78571428572
