device thread batch_size memory throughput
"NVMe SSD" 20 64MB 4 155013.38461538462
"NVMe SSD" 20 64MB 8 155593.0
"NVMe SSD" 20 64MB 12 111401.84210526316
"NVMe SSD" 20 64MB 16 129919.52173913043
"NVMe SSD" 20 64MB 20 95078.57142857143
"NVMe SSD" 20 64MB 24 71858.16666666667
"NVMe SSD" 20 64MB 32 137277.54545454544
"NVMe SSD" 20 64MB 36 119309.8
"NVMe SSD" 20 64MB 40 96237.35714285714
"NVMe SSD" 20 64MB 44 93254.43243243243
"NVMe SSD" 20 64MB 48 111015.88
"NVMe SSD" 20 64MB 52 83628.89552238806
"NVMe SSD" 20 64MB 56 76775.48205128204
"NVMe SSD" 20 64MB 60 76786.15183246073
"NVMe SSD" 20 64MB 64 74670.75042444821
"NVMe SSD" 20 64MB 68 63807.36363636364
PM 20 64MB 4 300825.0
PM 20 64MB 8 290030.8888888889
PM 20 64MB 12 245273.66666666666
PM 20 64MB 16 281661.5833333333
PM 20 64MB 20 229138.2972972973
PM 20 64MB 24 196964.14285714287
PM 20 64MB 28 191611.4347826087
PM 20 64MB 32 202196.3125
PM 20 64MB 36 197690.34
PM 20 64MB 40 210125.3488372093
PM 20 64MB 44 192904.3910614525
PM 20 64MB 48 191953.60941828255
PM 20 64MB 52 181566.59027777778
PM 20 64MB 56 178533.66544117648
PM 20 64MB 60 163672.63372093023
PM 20 64MB 64 139685.36752136753
"SATA HDD" 20 64MB 4 46205.26804123711
"SATA HDD" 20 64MB 8 40372.833333333336
"SATA HDD" 20 64MB 12 36344.114285714284
"SATA HDD" 20 64MB 16 34818.35593220339
"SATA HDD" 20 64MB 20 30615.688524590165
"SATA HDD" 20 64MB 24 44818.44
"SATA HDD" 20 64MB 28 29733.358208955226
"SATA HDD" 20 64MB 32 31125.887096774193
"SATA HDD" 20 64MB 36 14600.545454545454
"SATA HDD" 20 64MB 44 35240.48484848485
"SATA HDD" 20 64MB 48 21366.415254237287
"SATA HDD" 20 64MB 52 22015.01937984496
"SATA HDD" 20 64MB 56 29239.35436893204
"SATA HDD" 20 64MB 60 30161.20238095238
"SATA HDD" 20 64MB 64 19431.298969072166
"SATA HDD" 20 64MB 68 18645.776515151516
"SATA SSD" 20 64MB 4 66919.025
"SATA SSD" 20 64MB 8 65829.625
"SATA SSD" 20 64MB 12 45384.26190476191
"SATA SSD" 20 64MB 16 60734.25714285715
"SATA SSD" 20 64MB 20 47619.25
"SATA SSD" 20 64MB 24 44590.608695652176
"SATA SSD" 20 64MB 28 40500.822222222225
"SATA SSD" 20 64MB 36 77283.0
"SATA SSD" 20 64MB 40 65075.181818181816
"SATA SSD" 20 64MB 44 43727.4
"SATA SSD" 20 64MB 48 42937.55172413793
