secs_elapsed,interval_qps
1,367423
2,372640
3,366136
4,362611
5,376926
6,359996
7,351638
8,367154
9,382690
10,378552
11,371658
12,338705
13,366243
14,376807
15,369884
16,369692
17,366302
18,345578
19,370310
20,372433
21,383557
22,371384
23,343023
24,345347
25,363943
26,374229
27,366195
28,349283
29,349704
30,336573
31,349531
32,379300
33,362385
34,330875
35,334982
36,338779
37,331059
38,370112
39,363885
40,344961
41,331732
42,354871
43,364919
44,369467
45,342537
46,354328
47,343934
48,333140
49,354025
50,366348
51,341823
52,339907
53,352821
54,346091
55,363504
56,357919
57,344757
58,339149
59,344620
60,346325
61,356836
62,337349
63,353404
64,344535
65,335628
66,353607
67,366362
68,344310
69,335910
70,354938
71,347909
72,333816
73,352525
74,350747
75,338910
76,344150
77,349470
78,342943
79,335920
80,355041
81,345645
82,336317
83,342633
84,344446
85,335571
86,332665
87,329446
88,330549
89,333568
90,344339
91,337054
92,333550
93,352228
94,345197
95,321481
96,347172
97,334710
98,324487
99,345268
100,337723
101,337192
102,344274
103,347294
104,340127
105,343079
106,353656
107,346069
108,334797
109,353629
110,344936
111,337989
112,344292
113,349630
114,331030
115,333344
116,352228
117,342849
118,331899
119,356851
120,347567
121,331606
122,348897
123,349798
124,339569
125,339956
126,351574
127,341375
128,331568
129,346181
130,338040
131,337303
132,355616
133,349376
134,340196
135,341334
136,350571
137,348841
138,335831
139,354279
140,346206
141,334210
142,346116
143,350240
144,340259
145,340101
146,351931
147,335225
148,334689
149,354421
150,347050
151,337647
152,349043
153,345278
154,324961
155,337526
156,347359
157,340760
158,335500
159,348541
160,349823
161,328958
162,352868
163,346145
164,330850
165,342925
166,363357
167,336361
168,337160
169,349197
170,341674
171,331929
172,350777
173,344538
174,321851
175,343665
176,344050
177,336271
178,332308
179,341564
180,335953
181,336927
182,345272
183,341426
184,321638
185,331268
186,318132
187,333612
188,350260
189,343437
190,330212
191,354025
192,345985
193,333851
194,343185
195,347913
196,333867
197,335283
198,347509
199,338414
200,335204
201,352442
202,343113
203,330121
204,346822
205,340607
206,320215
207,342011
208,346356
209,337171
210,339295
211,348069
212,341593
213,333266
214,333653
215,341572
216,328849
217,352188
218,348885
219,334905
220,346283
221,346998
222,331840
223,336184
224,351131
225,341067
226,333565
227,351141
228,344885
229,336319
230,346744
231,330077
232,321792
233,335900
234,334557
235,335474
236,320943
237,336852
238,330631
239,305212
240,339849
241,339380
242,333477
243,340647
244,339474
245,336281
246,336664
247,325030
248,325352
249,340795
250,332142
251,323093
252,340478
253,334055
254,320932
255,340583
256,335309
257,324177
258,347015
259,345667
260,338047
261,345194
262,345839
263,335539
264,339846
265,350202
266,343832
267,335945
268,351509
269,343725
270,337569
271,348254
272,331257
273,327755
274,334827
275,337043
276,330776
277,331235
278,341868
279,340333
280,336684
281,352533
282,340142
283,331296
284,352642
285,346976
286,334608
287,341485
288,346938
289,334679
290,340224
291,348503
292,341238
293,308966
294,346652
295,326940
296,328866
297,344456
298,335844
299,330108
300,350815
301,344593
302,336077
303,344677
304,348771
305,339795
306,336496
307,333971
308,333595
309,327297
310,343340
311,344235
312,332205
313,351574
314,348436
315,333841
316,331431
317,343036
318,332926
319,343913
320,346539
321,336454
322,332943
323,335954
324,339411
325,335016
326,350121
327,328271
328,329052
329,342786
330,334924
331,329560
332,342457
333,341080
334,336866
335,341581
336,343962
337,337426
338,336733
339,347878
340,339272
341,315674
342,327911
343,342325
344,333997
345,355191
346,344739
347,333300
348,349548
349,352017
350,335610
351,340817
352,351319
353,341532
354,324581
355,353262
356,336575
357,321323
358,342490
359,325669
360,334483
361,347816
362,347060
363,339403
364,342163
365,351525
366,337045
367,334740
368,351404
369,344570
370,330898
371,347906
372,346610
373,334466
374,342151
375,348701
376,336895
377,340785
378,348951
379,337384
380,329743
381,352870
382,339374
383,334321
384,346704
385,346432
386,339415
387,334712
388,341220
389,340135
390,338376
391,351248
392,338578
393,329785
394,352934
395,346439
396,335143
397,346423
398,346137
399,336257
400,336409
401,339937
402,340743
403,338389
404,353535
405,341039
406,333109
407,350736
408,345569
409,337260
410,342410
411,333911
412,333286
413,332522
414,344780
415,335940
416,328281
417,345549
418,345704
419,327402
420,353471
421,344183
422,337015
423,343497
424,345180
425,338210
426,341490
427,350938
428,341282
429,335855
430,353234
431,345355
432,338852
433,348606
434,350219
435,337799
436,340625
437,347782
438,345035
439,332460
440,353127
441,346969
442,335974
443,344734
444,345711
445,318997
446,326949
447,338570
448,325519
449,332221
450,342084
451,328343
452,331440
453,341024
454,330718
455,337124
456,351013
457,341685
458,333058
459,352998
460,347022
461,339917
462,344075
463,348408
464,341989
465,335783
466,351754
467,345738
468,329559
469,355520
470,346999
471,333183
472,345905
473,350420
