secs_elapsed,interval_qps
1,378170
2,363071
3,369024
4,364389
5,382185
6,374032
7,353497
8,289344
9,373767
10,372003
11,366974
12,363815
13,361227
14,356094
15,334556
16,359536
17,362198
18,343658
19,345629
20,349411
21,350526
22,344151
23,376141
24,363772
25,346986
26,312804
27,343040
28,350613
29,333174
30,321314
31,319586
32,351877
33,318283
34,300786
35,352498
36,319443
37,347175
38,330115
39,323268
40,285528
41,289488
42,297705
43,305217
44,279412
45,328501
46,333218
47,333377
48,309204
49,336328
50,356972
51,347010
52,338016
53,358354
54,333538
55,329499
56,355189
57,327342
58,340909
59,353419
60,348905
61,343503
62,330729
63,337977
64,343678
65,316459
66,353323
67,356491
68,327527
69,341725
70,355819
71,354164
72,333196
73,359140
74,321856
75,333464
76,312869
77,352073
78,345351
79,315012
80,355709
81,316670
82,320693
83,360580
84,136551
85,68211
86,66644
87,52135
88,255880
89,334124
90,318154
91,361951
92,319044
93,319095
94,309564
95,325982
96,329507
97,316740
98,331312
99,318385
100,325355
101,351989
102,340323
103,302041
104,360550
105,179849
106,61038
107,61139
108,52127
109,39118
110,39107
111,39077
112,39128
113,39084
114,39122
115,292871
116,354042
117,309679
118,308580
119,349911
120,308103
121,339915
122,345348
123,348323
124,342556
125,344983
126,356851
127,351790
128,328669
129,349828
130,360321
131,350856
132,332224
133,351056
134,79981
135,54724
136,52653
137,41874
138,35029
139,35047
140,35046
141,35026
142,35060
143,35038
144,35051
145,35024
146,35026
147,35060
148,47613
149,366208
150,348312
151,345759
152,283894
153,360011
154,320204
155,355654
156,370832
157,352566
158,331456
159,345079
160,353702
161,341652
162,329960
163,294255
164,335099
165,329197
166,340437
167,298815
168,301079
169,353738
170,286026
171,198365
172,49055
173,49085
174,49014
175,49073
176,49055
177,49080
178,49073
179,45222
180,35656
181,31384
182,31423
183,31359
184,31410
185,31386
186,31425
187,31380
188,76393
189,321996
190,314258
191,291639
192,355904
193,345634
194,362383
195,316658
196,293908
197,332898
198,330343
200,380258
201,296281
202,357950
203,335287
204,305032
205,326302
206,318304
207,315539
208,286833
209,331603
210,347856
211,345353
212,322199
213,318200
214,51076
215,54908
216,54086
217,42724
218,35132
