time_micro,level0
206.546244,20
227.830583,20
252.289742,20
278.63807,20
284.150878,21
308.327059,20
336.280763,20
341.792412,21
367.457698,20
373.411562,21
398.954011,20
405.877609,21
429.193064,20
437.641565,21
462.998911,20
470.749964,21
500.260172,20
534.449491,20
540.996165,21
571.860423,20
572.029077,20
578.034406,21
612.314706,20
613.237607,20
618.498966,21
653.35081,20
659.868622,21
693.6569,20
694.809212,20
697.315477,20
700.045395,21
736.980728,20
737.220267,20
739.243074,20
742.853373,21
779.709809,20
780.882235,20
785.218116,21
821.098133,20
823.060966,20
825.588416,20
827.095659,21
838.166861,22
865.019556,20
865.104606,20
867.287852,20
870.704234,21
907.729864,20
908.987724,20
911.179965,20
913.618587,21
950.962633,20
951.358995,20
953.544306,20
955.797959,21
955.910029,21
964.854787,22
997.588224,20
997.639809,20
999.679637,20
1003.213575,21
1039.110048,20
1039.732969,20
1041.858073,20
1045.129655,21
1082.42516,20
1082.732358,20
1088.290819,21
1123.484769,20
1125.359453,20
1128.976682,21
1165.690423,20
1167.833742,20
1170.10859,20
1171.848366,21
1182.943895,22
1210.194074,20
1210.503858,20
1211.489527,20
1213.846968,20
1216.497325,21
1254.076627,20
1254.740515,20
1258.750976,21
1295.582205,20
1295.803934,20
1298.163721,20
1301.28366,21
1338.41584,20
1338.552471,20
1340.67079,20
1343.662415,21
1380.736566,20
1380.893405,20
1382.096458,20
1384.264006,20
1385.874858,21
1397.059253,22
1424.281804,20
1424.945687,20
1430.187446,21
1464.628054,20
1466.828224,20
1469.985132,21
1506.909877,20
1509.146419,20
1512.775747,21
1549.293089,20
1549.552252,20
1551.223692,20
1555.862294,21
1591.617511,20
1592.764244,20
1595.109319,20
1597.785489,21
1634.938719,20
1636.141743,20
1640.786395,21
1676.223824,20
1676.537277,20
1678.74146,20
1679.974156,20
1681.607544,21
1692.793914,22
1719.694785,20
1720.385729,20
1722.736332,20
1725.642205,21
1762.570451,20
1763.084662,20
1765.573228,20
1768.138335,21
1779.182712,22
1805.942499,20
1806.307606,20
1808.526167,20
1810.70603,20
1812.49138,21
1823.764937,22
1850.542015,20
1851.467726,20
1853.713606,20
1856.84116,21
1893.249899,20
1893.446788,20
1895.652764,20
1898.348744,21
1935.620032,20
1941.464022,21
1976.127263,20
1976.819512,20
1979.099136,20
1980.660192,20
1982.025605,21
1993.213556,22
2019.942583,20
2021.142328,20
2023.50901,20
2026.303578,21
2063.242204,20
2065.227018,20
2069.172523,21
2105.343521,20
2107.429848,20
2109.574664,20
2111.338165,21
2112.104145,21
2120.542662,22
2152.877708,20
2153.236383,20
2155.445235,20
2158.885065,21
2195.135768,20
2196.526272,20
2197.017907,20
2199.36025,20
2200.42592,21
2211.660153,22
2238.75841,20
2240.004397,20
2242.084238,20
2243.905402,20
2244.080181,20
2244.727816,20
2245.41829,20
2245.565972,21
2254.565759,22
2285.081335,20
2286.537194,20
2288.60732,20
2289.306429,20
2289.981792,20
2290.62837,20
2290.861521,21
2291.216209,21
2298.163983,22
2333.748728,20
2335.592993,20
2337.896543,20
2338.684874,20
2338.698686,21
2339.251992,21
2346.177753,22
2380.760981,20
2381.027246,20
2383.16176,20
2383.767933,20
2384.343201,20
2384.927201,20
2385.454306,20
2385.87432,21
2386.178471,21
2393.048257,22
2428.261171,20
2430.102144,20
2432.430797,20
2434.142114,21
2435.101846,21
2435.719567,21
2436.308565,21
2437.000378,21
2437.640558,21
2438.346916,21
2441.782478,22
2478.9475,20
2480.791708,20
2483.113776,20
2483.676472,20
2484.235413,20
2484.463046,21
2484.768245,21
2485.394582,21
2485.933259,21
2486.662965,21
2491.772804,22
2527.697456,20
2529.127678,20
2531.098976,20
2532.429422,20
2532.806244,21
2533.063408,21
2533.669214,21
2534.225832,21
2534.918966,21
2535.46751,21
2536.068173,21
2538.265332,21
2538.97616,21
2539.978044,22
2551.29531,23
2579.407283,20
2580.923841,20
2583.658177,20
2584.3911,20
2585.094037,20
