,device,thread number,L0 Stall,PendingBytes Stall,MemtableStall
0,NVMeSSD,2,1200,86,0
1,NVMeSSD,4,0,0,0
2,NVMeSSD,6,0,0,0
3,NVMeSSD,8,0,0,0
4,NVMeSSD,10,0,0,7
5,NVMeSSD,12,0,0,35
6,NVMeSSD,14,0,0,52
7,NVMeSSD,16,0,0,90
8,NVMeSSD,18,0,0,105
9,NVMeSSD,20,0,0,165
10,PM,2,981,102,0
11,PM,4,0,0,0
12,PM,6,0,0,0
13,PM,8,0,0,0
14,PM,10,0,0,0
15,PM,12,0,0,0
16,PM,14,0,0,0
17,PM,16,0,0,0
18,PM,18,0,0,0
19,PM,20,0,0,0
20,SATAHDD,2,1365,0,161
21,SATAHDD,4,1129,223,1043
22,SATAHDD,6,482,36,1231
23,SATAHDD,8,588,26,1205
24,SATAHDD,10,408,15,979
25,SATAHDD,12,276,17,1160
26,SATAHDD,14,474,5,1050
27,SATAHDD,16,354,9,995
28,SATAHDD,18,274,6,1137
29,SATAHDD,20,304,7,991
30,SATASSD,2,1717,0,0
31,SATASSD,4,1070,488,420
32,SATASSD,6,556,68,1273
33,SATASSD,8,600,38,1210
34,SATASSD,10,346,23,1362
35,SATASSD,12,194,20,1388
36,SATASSD,14,178,39,1483
37,SATASSD,16,132,11,1531
38,SATASSD,18,98,5,1503
39,SATASSD,20,66,1,1584
