device "thread number" "batch size" "stall type" "stall amount"
"NVMe SSD" 2 128MB L0O 114
"NVMe SSD" 2 128MB MMO 0
"NVMe SSD" 2 128MB RDO 308
"NVMe SSD" 20 128MB L0O 0
"NVMe SSD" 20 128MB MMO 1
"NVMe SSD" 20 128MB RDO 0
"NVMe SSD" 4 128MB L0O 0
"NVMe SSD" 4 128MB MMO 0
"NVMe SSD" 4 128MB RDO 0
PM 2 128MB L0O 52
PM 2 128MB MMO 0
PM 2 128MB RDO 279
PM 20 128MB L0O 0
PM 20 128MB MMO 0
PM 20 128MB RDO 0
PM 4 128MB L0O 0
PM 4 128MB MMO 0
PM 4 128MB RDO 0
"SATA HDD" 2 128MB L0O 486
"SATA HDD" 2 128MB MMO 0
"SATA HDD" 2 128MB RDO 42
"SATA HDD" 20 128MB L0O 8
"SATA HDD" 20 128MB MMO 659
"SATA HDD" 20 128MB RDO 0
"SATA HDD" 4 128MB L0O 72
"SATA HDD" 4 128MB MMO 508
"SATA HDD" 4 128MB RDO 319
"SATA SSD" 2 128MB L0O 428
"SATA SSD" 2 128MB MMO 0
"SATA SSD" 2 128MB RDO 193
"SATA SSD" 20 128MB L0O 0
"SATA SSD" 20 128MB MMO 660
"SATA SSD" 20 128MB RDO 0
"SATA SSD" 4 128MB L0O 30
"SATA SSD" 4 128MB MMO 221
"SATA SSD" 4 128MB RDO 265
"NVMe SSD" 2 64MB L0O 1773
"NVMe SSD" 2 64MB MMO 0
"NVMe SSD" 2 64MB RDO 22
"NVMe SSD" 20 64MB L0O 0
"NVMe SSD" 20 64MB MMO 165
"NVMe SSD" 20 64MB RDO 0
"NVMe SSD" 4 64MB L0O 90
"NVMe SSD" 4 64MB MMO 35
"NVMe SSD" 4 64MB RDO 0
PM 2 64MB L0O 981
PM 2 64MB MMO 0
PM 2 64MB RDO 102
PM 20 64MB L0O 0
PM 20 64MB MMO 0
PM 20 64MB RDO 0
PM 4 64MB L0O 0
PM 4 64MB MMO 0
PM 4 64MB RDO 0
"SATA HDD" 2 64MB L0O 1365
"SATA HDD" 2 64MB MMO 161
"SATA HDD" 2 64MB RDO 0
"SATA HDD" 20 64MB L0O 304
"SATA HDD" 20 64MB MMO 991
"SATA HDD" 20 64MB RDO 7
"SATA HDD" 4 64MB L0O 947
"SATA HDD" 4 64MB MMO 945
"SATA HDD" 4 64MB RDO 176
"SATA SSD" 2 64MB L0O 1637
"SATA SSD" 2 64MB MMO 0
"SATA SSD" 2 64MB RDO 0
"SATA SSD" 20 64MB L0O 66
"SATA SSD" 20 64MB MMO 1584
"SATA SSD" 20 64MB RDO 1
"SATA SSD" 4 64MB L0O 600
"SATA SSD" 4 64MB MMO 603
"SATA SSD" 4 64MB RDO 986
