Device workload "value size" Tuner "Stall Duration" MO LO RO
PM 3600+uniform 1000 default 2518.89 0 3211 2621
PM 3600+uniform 1000 FEAT 208.09 104 188 426
PM 3600+uniform 2000 default 2862.81 117 3627 3153
PM 3600+uniform 2000 FEAT 666.18 86 105 1636
PM 3600+uniform 5000 default 3108.25 1590 3578 4894
PM 3600+uniform 5000 FEAT 1591.96 1930 74 3586
NVMeSSD 3600+uniform 1000 default 2799.78 1220 3126 1035
NVMeSSD 3600+uniform 1000 FEAT 1145.41 503 165 1090
NVMeSSD 3600+uniform 2000 default 3064.19 1763 3207 1129
NVMeSSD 3600+uniform 2000 FEAT 1737.33 857 85 1241
NVMeSSD 3600+uniform 5000 default 3224.34 2018 3192 1307
NVMeSSD 3600+uniform 5000 FEAT 1990.22 1202 171 1516
SATASSD 3600+uniform 1000 default 3007.29 1110 2332 109
SATASSD 3600+uniform 1000 FEAT 1897.04 521 22 198
SATASSD 3600+uniform 2000 default 3162.49 1166 2395 92
SATASSD 3600+uniform 2000 FEAT 2107.72 508 28 478
SATASSD 3600+uniform 5000 default 3264.46 1177 2410 118
SATASSD 3600+uniform 5000 FEAT 2201.29 746 6 825
SATAHDD 3600+uniform 1000 default 3102.68 694 1547 0
SATAHDD 3600+uniform 1000 FEAT 2035.17 455 42 114
SATAHDD 3600+uniform 2000 default 3195.11 893 1863 0
SATAHDD 3600+uniform 2000 FEAT 2241.89 335 4 159
SATAHDD 3600+uniform 5000 default 3286.5 797 1674 0
SATAHDD 3600+uniform 5000 FEAT 2565.03 317 4 159
