Device workload "value size" Tuner "Stall Duration" MO LO RO
PM YCSBload60GB+zipfian 1000 default 487.5 0 1272 97
PM YCSBload60GB+latest 1000 default 494.74 0 1280 100
PM YCSBload60GB+uniform 1000 default 482.8 0 1275 97
PM YCSBload60GB+zipfian 1000 FEAT 11.81 17 77 28
PM YCSBload60GB+latest 1000 FEAT 38.32 5 18 42
PM YCSBload60GB+uniform 1000 FEAT 12.17 12 9 18
NVMeSSD YCSBload60GB+zipfian 1000 default 1021.96 447 1555 225
NVMeSSD YCSBload60GB+latest 1000 default 985.43 367 1534 214
NVMeSSD YCSBload60GB+uniform 1000 default 980.65 333 1563 212
NVMeSSD YCSBload60GB+zipfian 1000 FEAT 261.01 70 65 136
NVMeSSD YCSBload60GB+latest 1000 FEAT 361.53 60 28 262
NVMeSSD YCSBload60GB+uniform 1000 FEAT 167.19 27 30 101
SATASSD YCSBload60GB+zipfian 1000 default 1992.83 810 1658 352
SATASSD YCSBload60GB+latest 1000 default 1977.32 794 1681 333
SATASSD YCSBload60GB+uniform 1000 default 1985.21 811 1671 349
SATASSD YCSBload60GB+zipfian 1000 FEAT 960.67 218 82 285
SATASSD YCSBload60GB+latest 1000 FEAT 804.0 256 58 182
SATASSD YCSBload60GB+uniform 1000 FEAT 514.66 161 34 78
SATAHDD YCSBload60GB+zipfian 1000 default 3960.31 720 1935 443
SATAHDD YCSBload60GB+latest 1000 default 3279.82 756 1814 460
SATAHDD YCSBload60GB+uniform 1000 default 3462.07 735 1835 491
SATAHDD YCSBload60GB+zipfian 1000 FEAT 2170.73 734 423 340
SATAHDD YCSBload60GB+latest 1000 FEAT 1902.7 517 264 392
SATAHDD YCSBload60GB+uniform 1000 FEAT 1660.17 645 321 326
