,THD,material,stall_type,max_pending,stop_pending,db_size,read_qps
0,1,NVMeSSD,Default,50188696293,50095859399,35222015411,332387
1,1,PM,Default,49538734797,48333200012,35210829468,329694
2,1,SATAHDD,Default,49999015720,47269937630,27367277508,336465
3,1,SATASSD,Default,50408057055,48951563108,32975290015,344225
4,1,NVMeSSD,Limit,14372996462,8174479126,24721834804,412365
5,1,PM,Limit,14037636499,8173496777,25021065759,460077
6,1,SATAHDD,Limit,14285099734,11307942416,24855103465,470739
7,1,SATASSD,Limit,14411682737,8524071795,24764156251,453850
8,1,NVMeSSD,RO,50541865416,49470302409,35125647115,368586
9,1,PM,RO,49446251970,47887167720,35337207169,347667
10,1,SATAHDD,RO,49816511056,49108345758,28152360612,338689
11,1,SATASSD,RO,49968985203,43841071077,32411784860,456332
