device,thread number,batch size,workload,op_type,latency type,latency,Tuner
NVMe SSD,1,64MB,a load,write,Average,12.0908,FEAT
NVMe SSD,1,64MB,a load,write,P99,21.55,FEAT
NVMe SSD,1,64MB,a load,write,P99.99,1294.38,FEAT
NVMe SSD,1,64MB,b load,write,Average,12.7261,FEAT
NVMe SSD,1,64MB,b load,write,P99,21.82,FEAT
NVMe SSD,1,64MB,b load,write,P99.99,1294.63,FEAT
NVMe SSD,1,64MB,c load,write,Average,12.5495,FEAT
NVMe SSD,1,64MB,c load,write,P99,21.91,FEAT
NVMe SSD,1,64MB,c load,write,P99.99,1294.7,FEAT
NVMe SSD,1,64MB,d load,write,Average,11.9644,FEAT
NVMe SSD,1,64MB,d load,write,P99,21.42,FEAT
NVMe SSD,1,64MB,d load,write,P99.99,1294.21,FEAT
NVMe SSD,1,64MB,d run,write,Average,4.096,FEAT
NVMe SSD,1,64MB,d run,write,P99,9.07,FEAT
NVMe SSD,1,64MB,d run,write,P99.99,38.23,FEAT
NVMe SSD,1,64MB,e load,write,Average,11.9232,FEAT
NVMe SSD,1,64MB,e load,write,P99,21.32,FEAT
NVMe SSD,1,64MB,e load,write,P99.99,1294.19,FEAT
NVMe SSD,1,64MB,e run,write,Average,10.292,FEAT
NVMe SSD,1,64MB,e run,write,P99,15.0,FEAT
NVMe SSD,1,64MB,e run,write,P99.99,10968.94,FEAT
NVMe SSD,1,64MB,f load,write,Average,12.0991,FEAT
NVMe SSD,1,64MB,f load,write,P99,21.24,FEAT
NVMe SSD,1,64MB,f load,write,P99.99,1294.41,FEAT
PM,1,64MB,a load,write,Average,6.6469,FEAT
PM,1,64MB,a load,write,P99,14.54,FEAT
PM,1,64MB,a load,write,P99.99,1284.45,FEAT
PM,1,64MB,b load,write,Average,6.8401,FEAT
PM,1,64MB,b load,write,P99,14.41,FEAT
PM,1,64MB,b load,write,P99.99,1286.38,FEAT
PM,1,64MB,c load,write,Average,6.8722,FEAT
PM,1,64MB,c load,write,P99,14.69,FEAT
PM,1,64MB,c load,write,P99.99,1286.48,FEAT
PM,1,64MB,d load,write,Average,6.933,FEAT
PM,1,64MB,d load,write,P99,14.63,FEAT
PM,1,64MB,d load,write,P99.99,1287.14,FEAT
PM,1,64MB,d run,write,Average,3.9568,FEAT
PM,1,64MB,d run,write,P99,8.2,FEAT
PM,1,64MB,d run,write,P99.99,21.61,FEAT
PM,1,64MB,e load,write,Average,6.8718,FEAT
PM,1,64MB,e load,write,P99,14.23,FEAT
