device "thread number" "batch size" workload throughput(load) throughput(run) Tuner
"NVMe SSD" 1 64MB a 217963.0 255972.0 FEAT
"NVMe SSD" 1 64MB b 200210.0 525810.0 FEAT
"NVMe SSD" 1 64MB d 224154.0 490757.0 FEAT
"NVMe SSD" 1 64MB e 188255.0 27597.0 FEAT
"NVMe SSD" 1 64MB f 204462.0 199367.0 FEAT
PM 1 64MB a 127599.0 183878.0 FEAT
PM 1 64MB b 127977.0 477784.0 FEAT
PM 1 64MB d 124897.0 468882.0 FEAT
PM 1 64MB e 126463.0 23055.0 FEAT
PM 1 64MB f 127915.0 152931.0 FEAT
"SATA HDD" 1 64MB a 53404.0 124934.0 FEAT
"SATA HDD" 1 64MB b 50743.0 512350.0 FEAT
"SATA HDD" 1 64MB d 48103.0 529124.0 FEAT
"SATA HDD" 1 64MB e 51407.0 27374.0 FEAT
"SATA HDD" 1 64MB f 56155.0 126860.0 FEAT
"SATA SSD" 1 64MB a 118575.0 178774.0 FEAT
"SATA SSD" 1 64MB b 96039.0 528764.0 FEAT
"SATA SSD" 1 64MB d 103904.0 527417.0 FEAT
"SATA SSD" 1 64MB e 99557.0 27417.0 FEAT
"SATA SSD" 1 64MB f 98736.0 153195.0 FEAT
