device "thread number" "batch size" workload throughput(load) throughput(run) Tuner
"NVMe SSD" 1 64MB a 80027.0 250223.0 Default
"NVMe SSD" 1 64MB b 82100.0 521332.0 Default
"NVMe SSD" 1 64MB c 82652.0 1521142.0 Default
"NVMe SSD" 1 64MB d 81469.0 513368.0 Default
"NVMe SSD" 1 64MB e 82351.0 27837.0 Default
"NVMe SSD" 1 64MB f 80830.0 193549.0 Default
PM 1 64MB a 147230.0 267474.0 Default
PM 1 64MB b 147158.0 536404.0 Default
PM 1 64MB c 148820.0 1526726.0 Default
PM 1 64MB d 148543.0 523636.0 Default
PM 1 64MB e 149860.0 28299.0 Default
PM 1 64MB f 144674.0 205182.0 Default
"SATA HDD" 1 64MB a 27992.0 116074.0 Default
"SATA HDD" 1 64MB b 27189.0 507500.0 Default
"SATA HDD" 1 64MB c 27533.0 1496120.0 Default
"SATA HDD" 1 64MB d 28881.0 497860.0 Default
"SATA HDD" 1 64MB e 27301.0 27765.0 Default
"SATA HDD" 1 64MB f 27106.0 121423.0 Default
"SATA SSD" 1 64MB a 55417.0 213787.0 Default
"SATA SSD" 1 64MB b 58116.0 529166.0 Default
"SATA SSD" 1 64MB c 56389.0 1477330.0 Default
"SATA SSD" 1 64MB d 58770.0 519257.0 Default
"SATA SSD" 1 64MB e 58342.0 27931.0 Default
"SATA SSD" 1 64MB f 61964.0 180137.0 Default
