,device,thread number,batch size,latency type,latency
0,NVMeSSD,1 ,128MB,Min,1.0
1,NVMeSSD,1 ,128MB,Average,11.1161
2,NVMeSSD,1 ,128MB,P99,21.31
3,NVMeSSD,1 ,128MB,Max,302.0
4,NVMeSSD,1 ,64MB,Min,1.0
5,NVMeSSD,1 ,64MB,Average,9.8951
6,NVMeSSD,1 ,64MB,P99,19.09
7,NVMeSSD,1 ,64MB,Max,683.0
8,NVMeSSD,20 ,128MB,Min,1.0
9,NVMeSSD,20 ,128MB,Average,9.3575
10,NVMeSSD,20 ,128MB,P99,15.45
11,NVMeSSD,20 ,128MB,Max,45492.0
12,NVMeSSD,20 ,64MB,Min,1.0
13,NVMeSSD,20 ,64MB,Average,9.0434
14,NVMeSSD,20 ,64MB,P99,15.5
15,NVMeSSD,20 ,64MB,Max,46008.0
16,NVMeSSD,4 ,128MB,Min,1.0
17,NVMeSSD,4 ,128MB,Average,9.5325
18,NVMeSSD,4 ,128MB,P99,15.86
19,NVMeSSD,4 ,128MB,Max,304.0
20,NVMeSSD,4 ,64MB,Min,1.0
21,NVMeSSD,4 ,64MB,Average,9.3354
22,NVMeSSD,4 ,64MB,P99,17.41
23,NVMeSSD,4 ,64MB,Max,50474.0
24,PM,1 ,128MB,Min,1.0
25,PM,1 ,128MB,Average,10.8718
26,PM,1 ,128MB,P99,21.31
27,PM,1 ,128MB,Max,369.0
28,PM,1 ,64MB,Min,1.0
29,PM,1 ,64MB,Average,9.5815
30,PM,1 ,64MB,P99,20.27
31,PM,1 ,64MB,Max,525.0
32,PM,20 ,128MB,Min,1.0
33,PM,20 ,128MB,Average,8.9445
34,PM,20 ,128MB,P99,14.92
35,PM,20 ,128MB,Max,302.0
36,PM,20 ,64MB,Min,1.0
37,PM,20 ,64MB,Average,9.3008
38,PM,20 ,64MB,P99,14.99
39,PM,20 ,64MB,Max,317.0
40,PM,4 ,128MB,Min,1.0
41,PM,4 ,128MB,Average,9.3966
42,PM,4 ,128MB,P99,14.97
43,PM,4 ,128MB,Max,351.0
44,PM,4 ,64MB,Min,1.0
45,PM,4 ,64MB,Average,9.5618
46,PM,4 ,64MB,P99,17.91
47,PM,4 ,64MB,Max,449.0
48,SATAHDD,1 ,128MB,Min,1.0
49,SATAHDD,1 ,128MB,Average,10.894
50,SATAHDD,1 ,128MB,P99,21.0
51,SATAHDD,1 ,128MB,Max,1817.0
52,SATAHDD,1 ,64MB,Min,1.0
53,SATAHDD,1 ,64MB,Average,11.2185
54,SATAHDD,1 ,64MB,P99,21.37
55,SATAHDD,1 ,64MB,Max,390.0
56,SATAHDD,20 ,128MB,Min,1.0
57,SATAHDD,20 ,128MB,Average,11.0484
58,SATAHDD,20 ,128MB,P99,21.53
59,SATAHDD,20 ,128MB,Max,390198.0
60,SATAHDD,20 ,64MB,Min,1.0
61,SATAHDD,20 ,64MB,Average,39.6866
62,SATAHDD,20 ,64MB,P99,21.65
63,SATAHDD,20 ,64MB,Max,6237215.0
64,SATAHDD,4 ,128MB,Min,1.0
65,SATAHDD,4 ,128MB,Average,10.484
66,SATAHDD,4 ,128MB,P99,20.68
67,SATAHDD,4 ,128MB,Max,320972.0
68,SATAHDD,4 ,64MB,Min,1.0
69,SATAHDD,4 ,64MB,Average,9.6175
70,SATAHDD,4 ,64MB,P99,17.92
71,SATAHDD,4 ,64MB,Max,494045.0
72,SATASSD,1 ,128MB,Min,1.0
73,SATASSD,1 ,128MB,Average,9.314
74,SATASSD,1 ,128MB,P99,15.49
75,SATASSD,1 ,128MB,Max,230.0
76,SATASSD,1 ,64MB,Min,1.0
77,SATASSD,1 ,64MB,Average,9.458
78,SATASSD,1 ,64MB,P99,17.49
79,SATASSD,1 ,64MB,Max,660.0
80,SATASSD,20 ,128MB,Min,1.0
81,SATASSD,20 ,128MB,Average,10.7235
82,SATASSD,20 ,128MB,P99,21.41
83,SATASSD,20 ,128MB,Max,347192.0
84,SATASSD,20 ,64MB,Min,1.0
85,SATASSD,20 ,64MB,Average,37.4928
86,SATASSD,20 ,64MB,P99,139.02
87,SATASSD,20 ,64MB,Max,2754148.0
88,SATASSD,4 ,128MB,Min,1.0
89,SATASSD,4 ,128MB,Average,10.2773
90,SATASSD,4 ,128MB,P99,20.5
91,SATASSD,4 ,128MB,Max,167829.0
92,SATASSD,4 ,64MB,Min,1.0
93,SATASSD,4 ,64MB,Average,9.6348
94,SATASSD,4 ,64MB,P99,19.41
95,SATASSD,4 ,64MB,Max,225911.0
