,device,thread number,batch size,stall type,stall amount
0,NVMeSSD,2,64MB,level0,1200
1,NVMeSSD,2,64MB,pending_compaction_bytes,86
2,NVMeSSD,2,64MB,memtable,0
3,NVMeSSD,4,64MB,level0,0
4,NVMeSSD,4,64MB,pending_compaction_bytes,0
5,NVMeSSD,4,64MB,memtable,0
6,NVMeSSD,6,64MB,level0,0
7,NVMeSSD,6,64MB,pending_compaction_bytes,0
8,NVMeSSD,6,64MB,memtable,0
9,NVMeSSD,8,64MB,level0,0
10,NVMeSSD,8,64MB,pending_compaction_bytes,0
11,NVMeSSD,8,64MB,memtable,0
12,NVMeSSD,10,64MB,level0,0
13,NVMeSSD,10,64MB,pending_compaction_bytes,0
14,NVMeSSD,10,64MB,memtable,7
15,NVMeSSD,12,64MB,level0,0
16,NVMeSSD,12,64MB,pending_compaction_bytes,0
17,NVMeSSD,12,64MB,memtable,35
18,NVMeSSD,14,64MB,level0,0
19,NVMeSSD,14,64MB,pending_compaction_bytes,0
20,NVMeSSD,14,64MB,memtable,52
21,NVMeSSD,16,64MB,level0,0
22,NVMeSSD,16,64MB,pending_compaction_bytes,0
23,NVMeSSD,16,64MB,memtable,90
24,NVMeSSD,18,64MB,level0,0
25,NVMeSSD,18,64MB,pending_compaction_bytes,0
26,NVMeSSD,18,64MB,memtable,105
27,NVMeSSD,20,64MB,level0,0
28,NVMeSSD,20,64MB,pending_compaction_bytes,0
29,NVMeSSD,20,64MB,memtable,165
30,PM,2,64MB,level0,981
31,PM,2,64MB,pending_compaction_bytes,102
32,PM,2,64MB,memtable,0
33,PM,4,64MB,level0,0
34,PM,4,64MB,pending_compaction_bytes,0
35,PM,4,64MB,memtable,0
36,PM,6,64MB,level0,0
37,PM,6,64MB,pending_compaction_bytes,0
38,PM,6,64MB,memtable,0
39,PM,8,64MB,level0,0
40,PM,8,64MB,pending_compaction_bytes,0
41,PM,8,64MB,memtable,0
42,PM,10,64MB,level0,0
43,PM,10,64MB,pending_compaction_bytes,0
44,PM,10,64MB,memtable,0
45,PM,12,64MB,level0,0
46,PM,12,64MB,pending_compaction_bytes,0
47,PM,12,64MB,memtable,0
48,PM,14,64MB,level0,0
49,PM,14,64MB,pending_compaction_bytes,0
50,PM,14,64MB,memtable,0
51,PM,16,64MB,level0,0
52,PM,16,64MB,pending_compaction_bytes,0
53,PM,16,64MB,memtable,0
54,PM,18,64MB,level0,0
55,PM,18,64MB,pending_compaction_bytes,0
56,PM,18,64MB,memtable,0
57,PM,20,64MB,level0,0
58,PM,20,64MB,pending_compaction_bytes,0
59,PM,20,64MB,memtable,0
60,SATAHDD,2,64MB,level0,1365
61,SATAHDD,2,64MB,pending_compaction_bytes,0
62,SATAHDD,2,64MB,memtable,161
63,SATAHDD,4,64MB,level0,1129
64,SATAHDD,4,64MB,pending_compaction_bytes,223
65,SATAHDD,4,64MB,memtable,1043
66,SATAHDD,6,64MB,level0,482
67,SATAHDD,6,64MB,pending_compaction_bytes,36
68,SATAHDD,6,64MB,memtable,1231
69,SATAHDD,8,64MB,level0,588
70,SATAHDD,8,64MB,pending_compaction_bytes,26
71,SATAHDD,8,64MB,memtable,1205
72,SATAHDD,10,64MB,level0,408
73,SATAHDD,10,64MB,pending_compaction_bytes,15
74,SATAHDD,10,64MB,memtable,979
75,SATAHDD,12,64MB,level0,276
76,SATAHDD,12,64MB,pending_compaction_bytes,17
77,SATAHDD,12,64MB,memtable,1160
78,SATAHDD,14,64MB,level0,474
79,SATAHDD,14,64MB,pending_compaction_bytes,5
80,SATAHDD,14,64MB,memtable,1050
81,SATAHDD,16,64MB,level0,354
82,SATAHDD,16,64MB,pending_compaction_bytes,9
83,SATAHDD,16,64MB,memtable,995
84,SATAHDD,18,64MB,level0,274
85,SATAHDD,18,64MB,pending_compaction_bytes,6
86,SATAHDD,18,64MB,memtable,1137
87,SATAHDD,20,64MB,level0,304
88,SATAHDD,20,64MB,pending_compaction_bytes,7
89,SATAHDD,20,64MB,memtable,991
90,SATASSD,2,64MB,level0,1717
91,SATASSD,2,64MB,pending_compaction_bytes,0
92,SATASSD,2,64MB,memtable,0
93,SATASSD,4,64MB,level0,1070
94,SATASSD,4,64MB,pending_compaction_bytes,488
95,SATASSD,4,64MB,memtable,420
96,SATASSD,6,64MB,level0,556
97,SATASSD,6,64MB,pending_compaction_bytes,68
98,SATASSD,6,64MB,memtable,1273
99,SATASSD,8,64MB,level0,600
100,SATASSD,8,64MB,pending_compaction_bytes,38
101,SATASSD,8,64MB,memtable,1210
102,SATASSD,10,64MB,level0,346
103,SATASSD,10,64MB,pending_compaction_bytes,23
104,SATASSD,10,64MB,memtable,1362
105,SATASSD,12,64MB,level0,194
106,SATASSD,12,64MB,pending_compaction_bytes,20
107,SATASSD,12,64MB,memtable,1388
108,SATASSD,14,64MB,level0,178
109,SATASSD,14,64MB,pending_compaction_bytes,39
110,SATASSD,14,64MB,memtable,1483
111,SATASSD,16,64MB,level0,132
112,SATASSD,16,64MB,pending_compaction_bytes,11
113,SATASSD,16,64MB,memtable,1531
114,SATASSD,18,64MB,level0,98
115,SATASSD,18,64MB,pending_compaction_bytes,5
116,SATASSD,18,64MB,memtable,1503
117,SATASSD,20,64MB,level0,66
118,SATASSD,20,64MB,pending_compaction_bytes,1
119,SATASSD,20,64MB,memtable,1584
