material,thread,batch_size,file_write (sec),file_range_sync (sec),file_fsync (sec),file_prepare_write (sec),mutex_waiting (sec),compaction_task_waiting (sec),flush_task_waiting (sec)
PM,1,64MB,224.496573494,0.0,247.409831322,11.345445512,14.894430143,80.007839,1728.842659
PM,1,128MB,211.90491405,0.0,237.126447062,10.076578925,18.901912571,118.983118,1760.180056
PM,4,64MB,267.380782037,0.0,316.656060454,11.971086015,21.133573684,5638.868446,1728.812218
PM,4,128MB,238.545629631,0.0,281.079450417,11.06458961,13.840299777,5874.049767,1761.410635
PM,12,64MB,284.281050741,0.0,502.019245149,12.320396029,17.519053792,21182.891578,1731.24787
PM,12,128MB,246.426441869,0.0,358.219906648,11.13648795,19.673207977,21088.965907,1761.473909
NVMeSSD,1,64MB,203.641386389,0.0,415.908877154,11.369373909,20.80650679,56.609623,1696.960156
NVMeSSD,1,128MB,195.139226058,0.0,390.907331603,10.112507654,18.772852518,96.58562,1728.830355
NVMeSSD,4,64MB,310.759375411,0.0,997.810132572,20.864816907,22.734616108,4867.485029,1662.524635
NVMeSSD,4,128MB,240.078852444,0.0,953.374932834,14.354647199,19.448944591,5253.919402,1696.803381
NVMeSSD,12,64MB,296.367167443,0.0,2320.688709247,20.232848195,23.30658059,19528.923606,1616.917747
NVMeSSD,12,128MB,261.134587084,0.0,1525.560151269,20.161799742,19.044397115,20285.397346,1695.577073
SATASSD,1,64MB,148.692174075,0.0,992.200340294,9.526976107,14.134943055,30.507384,1610.356154
SATASSD,1,128MB,146.871987402,0.0,1029.82910955,9.063572096,13.786455151,43.3818,1590.086757
SATASSD,4,64MB,306.264935134,0.0,4499.731599622,79.890717302,38.227766133,1851.029861,1256.057929
SATASSD,4,128MB,217.898129025,0.0,4247.280738087,55.905107169,25.17343567,2456.35858,1314.045163
SATASSD,12,64MB,306.546770398,0.0,11481.22147906,216.453019367,380.111815568,11049.506647,665.780956
SATASSD,12,128MB,235.721976453,0.0,8843.44421562,74.960206786,159.001451724,13979.317662,930.918126
SATAHDD,1,64MB,96.698899456,0.0,1531.47965131,10.6185691,14.544433906,18.306862,1511.392554
SATAHDD,1,128MB,90.127904126,0.0,1691.110744401,8.975881328,14.405166593,28.639467,1409.876479
SATAHDD,4,64MB,155.368102865,0.0,5771.232607028,120.558541184,434.397961726,2198.186454,441.801067
SATAHDD,4,128MB,112.084069647,0.0,6006.157227711,96.659015446,555.617393017,2118.80738,345.783823
SATAHDD,12,64MB,167.174013952,0.0,11405.502966591,290.696999077,1182.568601069,11975.948967,282.943953
SATAHDD,12,128MB,131.610510731,0.0,11921.47662865,293.325222744,785.229920265,11759.878544,292.950229
